,random_sampling,training_utility_sampling,density_weighted_sampling,margin_sampling,expected_error_reduction,random_meta_sampling,random_sampling_choice,perfect_meta_sampling,perfect_sampling_choice,meta_sampling,meta_sampling_choice,meta_sampling_ideal_choice
0,0.3333333333333333,0.3333333333333333,0.3739820014737362,0.3333333333333333,0.3333333333333333,0.3333333333333333,training_utility_sampling,0.3739820014737362,density_weighted_sampling,0.3333333333333333,training_utility_sampling,density_weighted_sampling
1,0.3924813205533213,0.4130055914603152,0.37394560870610344,0.3333333333333333,0.3333333333333333,0.4130055914603152,training_utility_sampling,0.5112267166568851,expected_error_reduction,0.37066108275968723,density_weighted_sampling,training_utility_sampling
2,0.5124584034902261,0.39158023135717845,0.3748583530447219,0.3333333333333333,0.3333333333333333,0.39158023135717845,training_utility_sampling,0.5337247422808921,training_utility_sampling,0.36131382849524224,training_utility_sampling,density_weighted_sampling
3,0.4971097655920232,0.510702958254092,0.38760890210863064,0.334030674169701,0.334030674169701,0.510702958254092,training_utility_sampling,0.5364305698023195,margin_sampling,0.35942031868829905,density_weighted_sampling,margin_sampling
4,0.4884952608933787,0.510502351708797,0.3826354483935678,0.33426573323621656,0.43180904686633004,0.5205691671257453,density_weighted_sampling,0.5358325429707649,margin_sampling,0.38421362138333714,margin_sampling,margin_sampling
5,0.4903989086235998,0.5082560219313642,0.4262733418143351,0.3377098204684412,0.4736935905974167,0.5207502658160553,density_weighted_sampling,0.5425448677941334,margin_sampling,0.383337381787695,margin_sampling,training_utility_sampling
6,0.4376546002536049,0.5246582719691784,0.4596334236275019,0.33540348101265827,0.46578694839141993,0.5304837039045778,expected_error_reduction,0.5429464293624147,density_weighted_sampling,0.38092471052260113,margin_sampling,training_utility_sampling
7,0.46270382725183734,0.5225739961983199,0.45431764981452594,0.3358792401011125,0.44204378075997086,0.5282126299867127,expected_error_reduction,0.5477463628270138,margin_sampling,0.4965822244200683,training_utility_sampling,training_utility_sampling
8,0.48112649928616247,0.518799616108087,0.4732287885025637,0.3351935739370294,0.46705770272542163,0.5409951568073763,margin_sampling,0.5475797458047158,density_weighted_sampling,0.5013355443015283,training_utility_sampling,expected_error_reduction
9,0.47483250480007894,0.5202241025277916,0.4663520580646051,0.33635436744863906,0.4631139469849148,0.5412150644839674,density_weighted_sampling,0.5509910049370565,margin_sampling,0.5193463983904089,expected_error_reduction,margin_sampling
10,0.4753109504418405,0.5233557381130196,0.45158960546722604,0.3687701770010019,0.47564396298994505,0.5348660860799038,density_weighted_sampling,0.5499454332555282,density_weighted_sampling,0.5213769715760843,margin_sampling,expected_error_reduction
11,0.4830666439892619,0.5234690942878634,0.45399860124598235,0.366762587062869,0.4966292783624212,0.5338125551310475,training_utility_sampling,0.5509810751190062,density_weighted_sampling,0.5175048741580999,margin_sampling,expected_error_reduction
12,0.488506156289065,0.4772693368464607,0.4703082863743125,0.39665244646087555,0.4798470277085348,0.5338962048401115,training_utility_sampling,0.5536246755081229,density_weighted_sampling,0.517871790957821,training_utility_sampling,margin_sampling
13,0.4647113550728008,0.4784330317279226,0.5207652695431897,0.395415745353216,0.4824068474670884,0.5360028886600434,margin_sampling,0.5493438032125705,density_weighted_sampling,0.5155117948513264,margin_sampling,margin_sampling
14,0.46502407975728066,0.4869209028996875,0.5253832847156208,0.3608301792274296,0.4778393950474358,0.5380518874216353,margin_sampling,0.55093886849206,density_weighted_sampling,0.5166186971602145,margin_sampling,margin_sampling
15,0.4710557354301572,0.4800889038622229,0.4894716511237902,0.37672448966850175,0.4708661917488519,0.537765213891735,training_utility_sampling,0.5494115725041693,margin_sampling,0.5157889482354115,margin_sampling,density_weighted_sampling
16,0.4752033856697622,0.48147264778797483,0.48963570434376885,0.3731749581246652,0.4940983368040084,0.5393834094665932,training_utility_sampling,0.549923038816744,density_weighted_sampling,0.5129719077158246,margin_sampling,expected_error_reduction
17,0.46810363119729875,0.48161415023500287,0.5081004897784068,0.3900529633896569,0.4924390189721959,0.5378319632831552,margin_sampling,0.5488954002653694,density_weighted_sampling,0.5122641989076449,margin_sampling,expected_error_reduction
18,0.46829557771249497,0.4934638317583381,0.5029666736141556,0.3868496558919721,0.48984168720929155,0.5412559052091293,margin_sampling,0.5494205404419235,density_weighted_sampling,0.5268091712443277,margin_sampling,expected_error_reduction
19,0.4668132178402525,0.4893118226823018,0.5028877414419584,0.38233494363929144,0.4830178422273322,0.5408938488283783,training_utility_sampling,0.551389666571271,margin_sampling,0.5351532664790625,margin_sampling,expected_error_reduction
20,0.4647624066916749,0.49382436044101385,0.5003152585119799,0.3783104800803916,0.4814606940651588,0.5388520323600821,margin_sampling,0.5509016207607788,density_weighted_sampling,0.5360083665174815,margin_sampling,training_utility_sampling
21,0.46384901893732844,0.5061855096957837,0.5009186832130048,0.3878432958397612,0.4829133023407552,0.4797838327250092,training_utility_sampling,0.551788306308858,expected_error_reduction,0.5381511851616638,margin_sampling,margin_sampling
22,0.4838358777542482,0.5034231140202954,0.499788994697345,0.39649341329625915,0.47759509379567244,0.48067452857398535,training_utility_sampling,0.5512268605663362,density_weighted_sampling,0.5298556785877749,margin_sampling,density_weighted_sampling
23,0.4960685465953325,0.5067559144859273,0.4972138977949355,0.4054771039231599,0.4765156144035996,0.46827109114593307,training_utility_sampling,0.5512506932160939,margin_sampling,0.5297429928327405,training_utility_sampling,expected_error_reduction
24,0.49729749068356055,0.5005116992020198,0.4997276856063553,0.42356594411819304,0.4959103798481241,0.4743337693004208,training_utility_sampling,0.5523474350446864,density_weighted_sampling,0.5282149738990295,margin_sampling,training_utility_sampling
