,random_sampling,training_utility_sampling,density_weighted_sampling,margin_sampling,expected_error_reduction,random_meta_sampling,random_sampling_choice,perfect_meta_sampling,perfect_sampling_choice,meta_sampling,meta_sampling_choice
0,0.35969209237228833,0.6695660700448662,0.6695660700448662,0.6695660700448662,0.35969209237228833,0.6695660700448662,density_weighted_sampling,0.6695660700448662,training_utility_sampling,0.6695660700448662,training_utility_sampling
1,0.6021345302943155,0.5700965809732468,0.41507220918985627,0.5334537789822342,0.5255807099506615,0.53354905180463,expected_error_reduction,0.5700965809732468,training_utility_sampling,0.5700965809732468,training_utility_sampling
2,0.6571890590555749,0.5701363165193253,0.652907135282533,0.5863159447437882,0.4269046203668435,0.44237822120634357,density_weighted_sampling,0.5701363165193253,training_utility_sampling,0.5701363165193253,training_utility_sampling
3,0.5981504963968701,0.6222993822544423,0.4769508132268344,0.5840035987404408,0.35969209237228833,0.3797841894093965,expected_error_reduction,0.6222993822544423,training_utility_sampling,0.6222993822544423,training_utility_sampling
4,0.5560897600443564,0.6229977248039863,0.640270720119928,0.5671877836918402,0.35969209237228833,0.5814883153185939,margin_sampling,0.6229977248039863,training_utility_sampling,0.6229977248039863,training_utility_sampling
5,0.6537353115266309,0.6192764429715548,0.5940991839296923,0.6548105012671943,0.35969209237228833,0.5709393718209964,training_utility_sampling,0.6633875760847754,density_weighted_sampling,0.6192764429715548,training_utility_sampling
6,0.6617726644568358,0.6233472438673135,0.6751256271882884,0.6724543043302773,0.35969209237228833,0.5964791875831914,training_utility_sampling,0.6745647313867624,density_weighted_sampling,0.6233472438673135,training_utility_sampling
7,0.6489042373375299,0.607041985623181,0.623360109550184,0.7147050285456247,0.35969209237228833,0.5362298272646177,expected_error_reduction,0.6578715453820805,training_utility_sampling,0.607041985623181,training_utility_sampling
8,0.6499154015360117,0.6245608899297423,0.615220761230458,0.70787320231764,0.35969209237228833,0.514454213249394,density_weighted_sampling,0.6631273077887082,training_utility_sampling,0.6245608899297423,training_utility_sampling
9,0.6371679295576389,0.6444265088332886,0.6475946509982355,0.7069994975022907,0.35969209237228833,0.6237704918032787,margin_sampling,0.6688342505416962,training_utility_sampling,0.6444265088332886,training_utility_sampling
10,0.6213654238066535,0.6633779264214047,0.6597729200925917,0.5981438429656434,0.35969209237228833,0.6222308291273808,training_utility_sampling,0.6720175931487473,training_utility_sampling,0.6633779264214047,training_utility_sampling
11,0.6338167990911274,0.6599777034559643,0.6555439365828976,0.6068268497330283,0.35969209237228833,0.6147389284742408,margin_sampling,0.7071768373588203,training_utility_sampling,0.6599777034559643,training_utility_sampling
12,0.6364284825215667,0.6620997417360928,0.6642133376827255,0.687337734589422,0.35969209237228833,0.6070771776901359,margin_sampling,0.7068093124689138,expected_error_reduction,0.6620997417360928,training_utility_sampling
13,0.6324176454834143,0.6557377049180327,0.665098162101351,0.6839569762157249,0.4064243007904979,0.6070771776901359,training_utility_sampling,0.7080837518416158,training_utility_sampling,0.6557377049180327,training_utility_sampling
14,0.6325547152131719,0.6632427730192718,0.6702857680015041,0.6734459299807033,0.40250026928048255,0.5744186046511628,density_weighted_sampling,0.7211930971773491,expected_error_reduction,0.6632427730192718,training_utility_sampling
15,0.6419386686611817,0.6641663906958172,0.6693631769410127,0.7027387383470469,0.4489371980676328,0.5617561683599419,density_weighted_sampling,0.7266786151425074,expected_error_reduction,0.6641663906958172,training_utility_sampling
16,0.6419386686611817,0.6596930642273807,0.6519023758883012,0.7036344123448195,0.5525578409254548,0.5599357190702513,expected_error_reduction,0.7283618394591179,margin_sampling,0.6596930642273807,training_utility_sampling
17,0.6595884098044298,0.669277108433735,0.6460560295511752,0.702922077922078,0.5525578409254548,0.5599357190702513,expected_error_reduction,0.7321943754547051,margin_sampling,0.669277108433735,training_utility_sampling
18,0.6585415314244025,0.6667928769184761,0.6407341688681425,0.6916881338246323,0.5309826313523939,0.5581099008518363,density_weighted_sampling,0.7387366507014692,density_weighted_sampling,0.6667928769184761,training_utility_sampling
19,0.6653899453383632,0.6620828988529719,0.6391600118308193,0.6972535345988226,0.5289826378312519,0.5788475139486062,training_utility_sampling,0.7402369312495187,density_weighted_sampling,0.6620828988529719,training_utility_sampling
20,0.6771580402661366,0.6639963641872444,0.6344145814025333,0.700263144948109,0.5249627421758569,0.5788475139486062,density_weighted_sampling,0.7422423506977551,expected_error_reduction,0.6639963641872444,training_utility_sampling
21,0.6767421627909211,0.6735918592461914,0.6296342188739096,0.7012739759938103,0.5249627421758569,0.6040993990579828,margin_sampling,0.7427131499764476,training_utility_sampling,0.6735918592461914,training_utility_sampling
22,0.680799618908307,0.6589883376401149,0.62803289102883,0.6894886062788212,0.5249627421758569,0.6006419392591048,margin_sampling,0.7450746268656716,training_utility_sampling,0.6589883376401149,training_utility_sampling
23,0.6818409872693081,0.644455336915997,0.6248182800909532,0.6885862009037192,0.5152223732763643,0.6163696429653878,expected_error_reduction,0.7573558792437072,training_utility_sampling,0.644455336915997,training_utility_sampling
24,0.6841689838952613,0.6283774577927259,0.6232049482074357,0.6963159641553269,0.47545893719806764,0.6185191087878111,margin_sampling,0.7577570687281585,density_weighted_sampling,0.6283774577927259,training_utility_sampling
25,0.6851494649503722,0.6605107502713052,0.6199661084529505,0.6853172529346034,0.5175014353111504,0.6176142441425795,margin_sampling,0.756830020197725,density_weighted_sampling,0.6605107502713052,training_utility_sampling
26,0.6848729453897432,0.6595443080999448,0.6199661084529505,0.6814444444444445,0.49763567121548713,0.6171543218485814,margin_sampling,0.7565971483294318,density_weighted_sampling,0.6595443080999448,training_utility_sampling
