,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,best_node.mean,best_node.sd,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,elite_nn.mean,elite_nn.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,linear_discr.mean,linear_discr.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,naive_bayes.mean,naive_bayes.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,one_nn.mean,one_nn.sd,p_trace,random_node.mean,random_node.sd,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda,worst_node.mean,worst_node.sd,dataset_id,query_number,estimator,best_strategy,best_score
0,0.5,0.0,0.0,0.0,12.2,,,1.0,,0.0,0.500000005551115,0.0,0.9709505944546688,,,109.86300546448088,2682.4085835134742,510662.3950819676,3988384.9626249997,,,117477890.62632747,0.5,0.14142135623730948,98.2693903189842,757.513742662794,2247.8911228082197,73.30242908196686,563.3059679056291,0.08196721311475409,145.4262295081967,1129.181421192898,0.970950586189704,3.358309955071398e-16,,,3.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.11547005383792516,6.0,0.0,0.5,0.23570226039551584,inf,,,110.36863278688523,858.3434785826066,245.0655737704918,1892.3147806223333,128.07213114754097,987.8533663338144,106.24590163934427,819.6720615737676,31.62295081967213,240.77002609228765,8.264964490578564e-09,0.0,,,2.0,0.03278688524590164,0.4,1.0,0.0,1.0,0.0,61.0,37.0,0.0,2.0,0.15245901639344261,1.0,5.0,24.0,61.0,24.0,-1.0,,,,1.0,,,213.44262295081967,1651.5650711228445,inf,92.33872872441508,714.4962468974335,,,,0.5573770491803278,0.32300974773394614,121.224043715847,935.3992863444713,1.2,0.8366600265340756,0.35355339059327373,0.0,0.5,0.0,510662.39508196723,3988329.8759518424,0.01639344262295082,0.09034926645000334,0.0,,,statlog-german-credit.arff,0,KNeighborsClassifier,expected_error_reduction,0.5283513258568284
0,0.5,0.0,0.0,0.0,10.166666666666666,,,1.0,,0.0,0.500000005551115,0.0,1.0,,,86.76595628415298,2138.4892670962354,413270.8169398911,3227731.442873681,,,112944563.19874036,0.5,0.0,105.33681163449087,812.8681605180473,2237.367972516913,80.02776960470047,615.9698541766903,0.09836065573770492,120.05327868852459,931.0773230452298,0.9999999911460989,1.1194366516904659e-16,,,3.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.16666666666666669,6.0,0.0,0.5,0.23570226039551584,inf,,,107.68293934426228,837.0779152392628,245.0655737704918,1892.3147806223333,131.64207650273224,1015.9638813370985,127.87704918032787,988.0946212101758,31.59016393442623,240.77225594941933,8.853901167782396e-09,0.0,,,2.0,0.03278688524590164,0.3333333333333333,1.0,0.0,1.0,0.0,61.0,36.0,0.0,2.0,0.1251366120218579,1.0,6.0,25.0,61.0,19.0,-1.0,,,,1.0,,,213.47540983606558,1651.5610959186197,inf,83.10897555959275,642.7569087195259,,,,0.5695081967213115,0.31693546256563654,128.29918032786884,990.6777612865095,1.2,0.8366600265340756,0.35355339059327373,0.0,0.5,0.0,413270.8169398907,3227688.181842849,0.01639344262295082,0.0897781114170792,0.0,,,statlog-german-credit.arff,1,KNeighborsClassifier,training_utility_sampling,0.5283513258568284
0,0.5,0.0,0.0,0.0,8.714285714285714,,,1.0,,0.0,0.5,0.0,0.9852281360342515,,,90.91928181108509,2288.559623432923,466993.1600312257,3647317.6808488504,,,115144796.4483666,0.5,0.10101525445522107,77.17024029367245,593.3103902482895,3766.5352060392765,44.01801072491916,335.1449843581545,0.11475409836065574,131.827868852459,1022.4545176732228,0.985228127477824,2.2388733033809317e-16,,,3.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.1649572197684645,6.0,0.0,0.5,0.23570226039551584,inf,,,110.36863278688523,858.3434785826066,245.0983606557377,1892.3104722791309,114.64871194379388,883.6302835130427,106.19672131147541,819.6784698825944,12.245901639344263,89.74438807667491,8.556427788519727e-09,0.0,,,2.0,0.03278688524590164,0.2857142857142857,1.0,0.0,1.0,0.0,61.0,38.0,0.0,2.0,0.1180327868852459,1.0,7.0,21.0,61.0,15.0,-1.0,,,,1.0,,,232.85245901639345,1802.639017626339,inf,88.29613923119241,683.2643956467801,,,,0.5614298724954461,0.3010886020529121,109.03934426229509,840.6847199909306,1.2,0.8366600265340756,0.35355339059327373,0.0,0.5,0.0,466993.1600312256,3647273.837752894,0.01639344262295082,0.0905003736066919,0.0,,,statlog-german-credit.arff,2,KNeighborsClassifier,training_utility_sampling,0.5283513258568284
0,0.24356314769788714,0.2163215840638756,0.5371971316805045,0.4086115523151488,7.625,,,1.0,,0.0,0.28634916270610394,0.20379975093769115,0.954434002924965,,,87.70775761124122,2286.4877325487832,462487.5825526932,3612129.9605578994,,,8.724575275358202,0.5,0.1767766952966369,66.52458125780986,510.5199910024311,4545.639267107177,39.72610422424434,301.9419843899194,0.13114754098360656,133.04098360655738,1031.7023494572857,1.382235092643326,0.35323406499511895,,,3.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.19094065395649332,6.0,0.0,0.5,0.23570226039551584,inf,,,93.3673426229508,725.1735871607968,245.13114754098362,1892.3061633485725,103.31557377049181,795.4556446512792,81.17213114754098,624.1703953064813,12.229508196721312,89.74452507769354,0.10939604196214345,0.1459052547696886,,,2.0,0.03278688524590164,0.25,1.0,0.0,1.0,0.0,61.0,40.0,0.0,2.0,0.09836065573770492,1.0,8.0,19.0,61.0,26.0,3.9105719187390875,,,,1.0,,,232.9016393442623,1802.63301594194,inf,87.8687832432676,679.9603692927808,,,,0.5503512880562061,0.2872346572259532,94.86065573770492,730.2766333918136,1.2,0.8366600265340756,0.35355339059327373,0.0,0.5,0.0,462487.5825526932,3612085.775197017,0.01639344262295082,0.09161573349021893,0.0,,,statlog-german-credit.arff,3,KNeighborsClassifier,training_utility_sampling,0.5911380535990753
0,0.25132204984394824,0.23432272118900838,0.5062447989695315,0.39157370983684436,6.777777777777778,,,0.9999999999999998,,0.0,0.2542271140701791,0.19990677901167067,0.9910760598382222,,,77.29045992714025,1975.8313393337548,410312.7399817852,3204629.5984667893,,,12.24058641244747,0.5,0.07856742013183865,67.33510935380632,516.8379443270899,3395.646316240842,41.86101492593656,318.59912564825754,0.14754098360655737,118.1639344262295,915.7363554416717,1.41635447154134,0.3542556024508422,,,3.0,1.6666666666666667,0.5773502691896257,0.3333333333333333,0.22222222222222224,6.0,0.0,0.5,0.23570226039551584,2251799813685247.0,,,74.8591475409836,581.1999776467408,245.18032786885246,1892.2996988514328,100.10746812386155,770.4325787651516,74.24590163934427,570.2717964777178,12.229508196721312,89.74452507769354,0.08096638726641361,0.10807927168094303,,,2.0,0.03278688524590164,0.2222222222222222,1.0,0.0,1.0,0.0,61.0,43.0,0.0,2.0,0.11584699453551912,1.0,9.0,15.0,61.0,27.0,5.252530414921099,,,,0.9999999999999996,,,232.95081967213116,1802.6265690766302,2251799813685247.0,82.8016308178055,640.4536728608546,,,,0.5294569672131147,0.26525860699714454,91.93676814988295,707.4163547701734,1.2,0.8366600265340756,0.35355339059327373,0.0,0.5,0.0,410312.7399817852,3204592.4063160713,0.01639344262295082,0.09263337747783366,4.440892098500646e-16,,,statlog-german-credit.arff,4,KNeighborsClassifier,training_utility_sampling,0.5911380535990753
0,0.17719445518225596,0.2135666545515348,0.5365318303316146,0.38070816025498566,6.1,,,1.0,,0.0,0.23178500303583857,0.19687119204906073,1.0,,,96.53762598664237,2450.7672321133577,526255.7861566489,4110173.400659175,,,12.0912771757563,0.5,0.0,77.14311838425182,592.940621306697,5003.644279922385,45.66947456847506,347.9662525947923,0.16393442622950818,150.80737704918033,1169.7798487620105,1.4538275811886823,0.3492976613773251,,,4.0,2.25,0.9574271077563381,0.25,0.1914854215512676,9.333333333333332,1.5396007178390019,0.5,0.3535533905932738,inf,,,93.51317213114756,725.1591563884789,264.26229508196724,2041.2022593040547,116.45573770491804,897.5173096797987,90.34426229508196,694.9621604865957,12.229508196721312,89.74452507769354,0.08270424914293231,0.10657426046570427,,,3.0,0.04918032786885246,0.3,1.0,0.0,1.0,0.0,61.0,44.0,0.0,2.0,0.1,1.0,10.0,14.0,61.0,25.0,5.487355074155404,,,,1.0,,,252.0327868852459,1951.530202748714,inf,93.70369035089422,725.3275085418036,,,,0.5252696099690635,0.25685187699291584,103.26502732240438,795.6136167769953,1.7142857142857142,1.1126972805283737,0.2580005327400437,0.08275120230510061,0.4375,0.07216878364870322,526255.7861566484,4110128.7854935834,0.01639344262295082,0.07473068092373925,0.0,,,statlog-german-credit.arff,5,KNeighborsClassifier,training_utility_sampling,0.5942982456140351
0,0.2313596845202202,0.2326201896121968,0.5266172025294101,0.3803253079589434,5.545454545454546,,,1.0,,0.0,0.2282248448820143,0.20238853698030657,0.9940302114769566,,,90.98958768007952,2305.027482174599,506358.3701937409,3954770.547144631,,,12.589342702220279,0.5,0.06428243465332248,72.51525298520754,556.9218027632295,5367.707039530215,44.98746722754929,342.69294540583746,0.18032786885245902,140.24590163934425,1088.005961315435,1.441689343280271,0.34611879763603864,,,4.0,2.25,0.9574271077563381,0.25,0.18741389207353001,9.333333333333332,1.5396007178390017,0.5,0.3535533905932738,inf,,,74.88345245901638,581.196825965156,264.27868852459017,2041.200105584519,109.44709388971684,842.9750383213046,74.24590163934427,570.2717672518869,12.229508196721312,89.74452507769354,0.078958070726095,0.11004856968889488,,,3.0,0.04918032786885246,0.2727272727272727,1.0,0.0,1.0,0.0,61.0,45.0,0.0,2.0,0.08852459016393442,1.0,11.0,13.0,61.0,23.0,5.669580420173152,,,,1.0,,,252.04918032786884,1951.5280545103583,inf,91.91575814479265,711.4832122580609,,,,0.5191334894613584,0.24958769111685475,94.13114754098358,724.4628144967077,1.7142857142857142,1.1126972805283737,0.2580005327400437,0.08275120230510061,0.4375,0.07216878364870322,506358.37019374076,3954729.5293596205,0.01639344262295082,0.07652482376991905,0.0,,,statlog-german-credit.arff,6,KNeighborsClassifier,training_utility_sampling,0.5942982456140351
0,0.18715025720748443,0.20097228765220818,0.5639277159594192,0.370906821501586,5.083333333333333,,,1.0,,0.0,0.21317226650236434,0.1944270603620309,0.9798687566511527,,,90.52937986421594,2262.510812746196,502106.0791107799,3921560.17981354,,,11.385128644055358,0.5,0.11785113019775793,64.5461712658782,494.8934775151568,5809.182971039938,39.98209209607612,303.76221087282454,0.19672131147540983,133.00409836065575,1031.7057624106094,1.4577307998118032,0.33704479970711715,,,4.0,2.25,0.9574271077563381,0.25,0.19245008972987526,9.333333333333332,1.5396007178390017,0.5,0.3535533905932738,inf,,,65.57466885245903,508.3003625670457,264.2950819672131,2041.1979517288557,101.86202185792347,783.9738710754282,65.1639344262295,499.47198554499766,12.229508196721312,89.74452507769354,0.08606567279876827,0.1101979081621685,,,3.0,0.04918032786885246,0.25,1.0,0.0,1.0,0.0,61.0,46.0,0.0,2.0,0.07868852459016393,1.0,12.0,11.0,61.0,32.0,5.552295446268676,,,,1.0,,,252.0655737704918,1951.5259061296324,inf,91.5260709651079,708.4898553039023,,,,0.5137108792846499,0.24065236721874997,85.35655737704919,656.1853038887853,1.7142857142857142,1.1126972805283737,0.2580005327400437,0.08275120230510061,0.4375,0.07216878364870322,502106.07911078,3921520.324865794,0.01639344262295082,0.07823008033350849,0.0,,,statlog-german-credit.arff,7,KNeighborsClassifier,training_utility_sampling,0.5942982456140351
0,0.17771365275255765,0.20422979591533932,0.5377645830787922,0.36887417129236566,4.6923076923076925,,,1.0,,0.0,0.21846166407323847,0.19974505436669593,0.961236604722876,,,87.35009457755359,2221.768102693204,502471.30054644786,3924411.8304570382,,,11.588498872693847,0.5,0.16317848796612636,53.70774888464644,410.3789727234104,6229.790455143736,27.68165714113685,207.82475867222178,0.21311475409836064,126.22950819672131,978.2101920249149,1.4160537227949752,0.33136300079109077,,,4.0,2.25,0.9574271077563381,0.25,0.20230427997512182,9.333333333333332,1.5396007178390019,0.5,0.3535533905932738,inf,,,64.79691147540983,502.6122128238689,264.3114754098361,2041.195797737065,94.55107187894073,726.997622982737,56.09836065573771,428.6735628625443,6.295081967213115,43.48767804880485,0.08294746500669316,0.11144078184832264,,,3.0,0.04918032786885246,0.23076923076923078,1.0,0.0,1.0,0.0,61.0,47.0,0.0,2.0,0.07759562841530054,1.0,13.0,10.0,61.0,30.0,5.483194911808325,,,,1.0,,,258.0163934426229,1997.8727978511151,inf,91.55938716724582,708.7474741783141,,,,0.5079328117237953,0.23125665454019248,77.92896174863388,598.2719057957854,1.7142857142857142,1.1126972805283737,0.2580005327400437,0.08275120230510061,0.4375,0.07216878364870322,502471.300546448,3924373.4280362437,0.01639344262295082,0.07972566205808579,0.0,,,statlog-german-credit.arff,8,KNeighborsClassifier,training_utility_sampling,0.5942982456140351
0,0.12874980837436656,0.15314725824170125,0.5558633618170671,0.3625873127679863,4.357142857142857,,,1.0,,0.0,0.21773912692685904,0.20524078029877524,0.940285958670631,,,85.24398306611424,2157.204127095247,483960.6588902901,3779840.0248191655,,,9.714713530842731,0.5,0.20203050891044216,50.98724689980336,389.29118094365185,6424.375031371044,27.553787289791988,206.9396610806922,0.22950819672131148,114.84836065573771,889.5483864470788,1.3993594403038547,0.319512728221276,,,4.0,2.25,0.9574271077563381,0.25,0.2142857142857143,9.333333333333332,1.5396007178390019,0.5,0.3535533905932738,inf,,,48.06297540983606,371.8212364699761,264.327868852459,2041.1936436091462,89.67096018735361,689.071836084955,47.69672131147541,363.12433911229044,6.295081967213115,43.48767804880485,0.09678988018384348,0.13430942381789185,,,3.0,0.04918032786885246,0.21428571428571427,1.0,0.0,1.0,0.0,61.0,48.0,0.0,2.0,0.06666666666666667,1.0,14.0,8.0,61.0,29.0,4.742990494060492,,,,1.0,,,258.0327868852459,1997.8706495267497,inf,89.86443688299781,695.569162081355,,,,0.5015412638363459,0.22198518037284165,72.7573770491803,558.0488970389055,1.7142857142857142,1.1126972805283737,0.2580005327400437,0.08275120230510061,0.4375,0.07216878364870322,483960.6588902901,3779802.436606372,0.01639344262295082,0.08101002499787935,0.0,,,statlog-german-credit.arff,9,KNeighborsClassifier,training_utility_sampling,0.5942982456140351
