,uncertainty_sampling,entropy_sampling,margin_sampling,uncertainty_batch_sampling,consensus_entropy_sampling,vote_entropy_sampling,max_disagreement_sampling,random_meta_sampling,random_sampling_choice,perfect_meta_sampling,perfect_sampling_choice,meta_sampling,meta_sampling_choice
0,0.9021367575916164,0.9362191251770777,0.9310135076849695,0.9229207510423343,0.9356941646334673,0.7384937154429729,0.4303183455327059,0.8931811777340413,uncertainty_sampling,0.9333539865842564,uncertainty_sampling,0.9034524100745089,uncertainty_batch_sampling
1,0.9327167464354561,0.9169186937931433,0.9129096310386022,0.9323652805911495,0.9269862855847697,0.8210424863845176,0.6063034182354328,0.8946382090332192,uncertainty_batch_sampling,0.9367663226584388,entropy_sampling,0.734718044040078,uncertainty_batch_sampling
2,0.9168221683149841,0.9367546271076934,0.922391213837827,0.9329649481148692,0.8933870179961529,0.8883283894470978,0.9013099110753353,0.9174423944426684,max_disagreement_sampling,0.9362636750810548,max_disagreement_sampling,0.8081605336644717,uncertainty_batch_sampling
3,0.934687984721331,0.9190796812938669,0.929663251474981,0.904583012244199,0.9246825546939033,0.9284583900049445,0.8537855014939748,0.9232842665802767,entropy_sampling,0.9362636750810548,max_disagreement_sampling,0.927732940181073,uncertainty_batch_sampling
4,0.9357263739988768,0.932158203669976,0.8917248156103995,0.9134991721082384,0.918536065991663,0.9351572597336846,0.9084319245254309,0.9278331216829494,margin_sampling,0.9351245161904744,max_disagreement_sampling,0.9350171913114551,uncertainty_batch_sampling
5,0.932934182082888,0.9362191251770777,0.9296255844273535,0.9157735418383004,0.9290959703075292,0.9345199199655548,0.9216747966708857,0.92628708754578,margin_sampling,0.9351245161904744,max_disagreement_sampling,0.935660456671419,uncertainty_batch_sampling
6,0.9362305106933431,0.9390681956257594,0.9324165535853719,0.9207353927382,0.9313097770345033,0.9362417307348472,0.9123798200768835,0.9335429443589491,uncertainty_batch_sampling,0.935660456671419,entropy_sampling,0.9298086764821668,uncertainty_batch_sampling
7,0.9345079770390974,0.9379713896078594,0.9346500141551404,0.9190863366486405,0.9363726080002022,0.9273634197524432,0.9226155194737105,0.9379289871914647,margin_sampling,0.9378954954681096,uncertainty_sampling,0.9367307419348299,uncertainty_sampling
8,0.9379713896078594,0.9396479047227687,0.9346300206070872,0.9135137757081878,0.9380112264377551,0.9296255844273535,0.927239062703151,0.9385198281755307,max_disagreement_sampling,0.9390467484255548,max_disagreement_sampling,0.9357570892173099,uncertainty_sampling
9,0.9373701956775933,0.937991628095202,0.9351985727852652,0.9213017960416966,0.9396971217047817,0.9283549004886108,0.9203408761448486,0.9312159441040612,margin_sampling,0.9396479047227687,margin_sampling,0.9351132657921011,uncertainty_sampling
10,0.9396479047227687,0.9357957259061034,0.9351465129923633,0.9029329474890277,0.9346970581029095,0.932406646869274,0.9150725907861144,0.9357570892173099,entropy_sampling,0.9390786822843374,uncertainty_batch_sampling,0.9362305106933431,uncertainty_batch_sampling
11,0.9396580599146336,0.9402925380678587,0.9357050673752135,0.91742002359869,0.9402745755341848,0.9318070254792391,0.9179124973606964,0.9363255541281301,uncertainty_sampling,0.9396165012759975,uncertainty_sampling,0.9361839740148266,uncertainty_sampling
12,0.9396479047227687,0.9408054181468078,0.9368435966916387,0.9157459468586737,0.9380485074532576,0.9306689116414228,0.9172437690742624,0.9357669963292177,vote_entropy_sampling,0.9390467484255548,entropy_sampling,0.9401647544512828,uncertainty_sampling
13,0.9379610299234517,0.938530173184066,0.9379505097340474,0.9168764568764569,0.9397064981567249,0.9329018600722474,0.9201237209701325,0.9374428084974838,max_disagreement_sampling,0.9396165012759975,consensus_entropy_sampling,0.9396057203004187,uncertainty_batch_sampling
14,0.938530173184066,0.938487837748446,0.9356830953827461,0.9285094358982454,0.9402464779826492,0.9328679776231865,0.906463209561899,0.9374428084974838,max_disagreement_sampling,0.9396165012759975,consensus_entropy_sampling,0.9390357875541373,uncertainty_batch_sampling
15,0.9379610299234517,0.9379068206569916,0.9379398288780882,0.9252074906367042,0.9408149245719464,0.9284366847280754,0.8970576930253982,0.937452535470995,margin_sampling,0.9401755123436,vote_entropy_sampling,0.9401647544512828,uncertainty_batch_sampling
16,0.9379610299234517,0.9385093240414062,0.9379815889462846,0.9257655088883562,0.9390991825240802,0.9312046321105352,0.9005489449630324,0.9363352923462621,uncertainty_batch_sampling,0.9396057203004187,entropy_sampling,0.9396057203004187,uncertainty_batch_sampling
17,0.9385198281755307,0.9362636750810548,0.9380015072085537,0.9246407438715132,0.9402464779826492,0.932890739531228,0.9081958397217327,0.9380207859317011,uncertainty_sampling,0.9407555905058314,consensus_entropy_sampling,0.9396057203004187,uncertainty_batch_sampling
18,0.9379610299234517,0.9373810547577622,0.9374228706123398,0.9213017960416966,0.9402559978555154,0.9328679776231865,0.911575534079349,0.935227804360139,vote_entropy_sampling,0.940765862608694,margin_sampling,0.9390357875541373,uncertainty_batch_sampling
19,0.9379505097340474,0.9385198281755307,0.9391190530389255,0.9268544675608605,0.9414103575184016,0.9312159441040612,0.9300768391943144,0.9346693351325261,max_disagreement_sampling,0.9424631999352076,uncertainty_sampling,0.9390357875541373,uncertainty_batch_sampling
20,0.9379505097340474,0.9379505097340474,0.9397064981567249,0.9262476124798665,0.9408514248072375,0.9323211235528563,0.9295302596985808,0.9318869428636827,vote_entropy_sampling,0.941894131892338,uncertainty_batch_sampling,0.9401755123436,uncertainty_batch_sampling
