@relation data
@attribute "\\#classes" numeric
@attribute "\\#atributos" numeric
@attribute "\\#exemplos" numeric
@attribute "$\\frac{\\#exemplos}{\\#atrib.}$" numeric
@attribute "\\%nominais" numeric
@attribute "\\%major." numeric
@attribute "\\%minor." numeric
@attribute "$\\frac{\\%major.}{\\%minor.}$" numeric
@attribute "entropia da distr. de classes" numeric
@attribute "orçamento" {"$\cent\leq 50$",baixo,alto}
@attribute algoritmo {"5NN","C4.5w","CIELM","NB","RFw","SVM"}
@attribute "atributo aceito" {"numérico","nominal","ambos"}
@attribute "fronteira" {"rígida","flexível","nenhuma"}
@attribute class {"Clu","DWeuc","DWmah","DWman","EERacc","EERent","Ent","Mar","QBCRFw","Rnd","SVMbal","SVMsim","TUeuc","TUmah","TUman","\textbf{ATUeuc}","\textbf{ATUmah}","\textbf{ATUman}","\textbf{HTUeuc}","\textbf{HTUmah}","\textbf{HTUman}","\textbf{SGmulti}"}
@data
2.0,9.0,766.4,85.15555555555555,100.0,65.34446764091858,34.65553235908142,1.8855421686746987,0.0,alto,5NN,numérico,flexível,"SVMbal"
2.0,9.0,766.4,85.15555555555555,100.0,65.34446764091858,34.65553235908142,1.8855421686746987,0.0,alto,C4.5w,ambos,rígida,"DWeuc"
2.0,9.0,766.4,85.15555555555555,100.0,65.34446764091858,34.65553235908142,1.8855421686746987,0.0,alto,CIELM,numérico,flexível,"DWeuc"
2.0,9.0,766.4,85.15555555555555,100.0,65.34446764091858,34.65553235908142,1.8855421686746987,0.0,alto,NB,nominal,flexível,"EERent"
2.0,9.0,766.4,85.15555555555555,100.0,65.34446764091858,34.65553235908142,1.8855421686746987,0.0,alto,RFw,ambos,flexível,"DWman"
2.0,9.0,766.4,85.15555555555555,100.0,65.34446764091858,34.65553235908142,1.8855421686746987,0.0,alto,SVM,numérico,flexível,"\textbf{ATUmah}"
4.0,2.0,4141.6,2070.8,0.0,41.99343248985899,6.258450840254974,6.709876543209877,0.0,alto,5NN,numérico,flexível,"DWmah"
4.0,2.0,4141.6,2070.8,0.0,41.99343248985899,6.258450840254974,6.709876543209877,0.0,alto,C4.5w,ambos,rígida,"DWeuc"
4.0,2.0,4141.6,2070.8,0.0,41.99343248985899,6.258450840254974,6.709876543209877,0.0,alto,CIELM,numérico,flexível,"DWmah"
4.0,2.0,4141.6,2070.8,0.0,41.99343248985899,6.258450840254974,6.709876543209877,0.0,alto,NB,nominal,flexível,"DWeuc"
4.0,2.0,4141.6,2070.8,0.0,41.99343248985899,6.258450840254974,6.709876543209877,0.0,alto,RFw,ambos,flexível,"SVMbal"
4.0,2.0,4141.6,2070.8,0.0,41.99343248985899,6.258450840254974,6.709876543209877,0.0,alto,SVM,numérico,flexível,"DWmah"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,5NN,numérico,flexível,"QBCRFw"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,C4.5w,ambos,rígida,"DWeuc"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,C4.5w,ambos,rígida,"DWman"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,C4.5w,ambos,rígida,"DWmah"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,CIELM,numérico,flexível,"Rnd"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,NB,nominal,flexível,"DWmah"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,RFw,ambos,flexível,"Rnd"
5.0,3.0,1216.8,405.59999999999997,0.0,90.00657462195923,1.9066403681788298,47.206896551724135,0.0,alto,SVM,numérico,flexível,"\textbf{SGmulti}"
2.0,100.0,969.6,9.696,0.0,50.495049504950494,49.504950495049506,1.02,0.0,alto,5NN,numérico,flexível,"DWmah"
2.0,100.0,969.6,9.696,0.0,50.495049504950494,49.504950495049506,1.02,0.0,alto,C4.5w,ambos,rígida,"SVMbal"
2.0,100.0,969.6,9.696,0.0,50.495049504950494,49.504950495049506,1.02,0.0,alto,CIELM,numérico,flexível,"DWmah"
2.0,100.0,969.6,9.696,0.0,50.495049504950494,49.504950495049506,1.02,0.0,alto,NB,nominal,flexível,"TUman"
2.0,100.0,969.6,9.696,0.0,50.495049504950494,49.504950495049506,1.02,0.0,alto,RFw,ambos,flexível,"EERent"
2.0,100.0,969.6,9.696,0.0,50.495049504950494,49.504950495049506,1.02,0.0,alto,SVM,numérico,flexível,"\textbf{ATUmah}"
3.0,8.0,3341.6,417.7,12.5,34.64208762269572,31.67344984438592,1.0937263794406653,0.0,alto,5NN,numérico,flexível,"DWman"
3.0,8.0,3341.6,417.7,12.5,34.64208762269572,31.67344984438592,1.0937263794406653,0.0,alto,C4.5w,ambos,rígida,"DWmah"
3.0,8.0,3341.6,417.7,12.5,34.64208762269572,31.67344984438592,1.0937263794406653,0.0,alto,CIELM,numérico,flexível,"EERent"
3.0,8.0,3341.6,417.7,12.5,34.64208762269572,31.67344984438592,1.0937263794406653,0.0,alto,NB,nominal,flexível,"QBCRFw"
3.0,8.0,3341.6,417.7,12.5,34.64208762269572,31.67344984438592,1.0937263794406653,0.0,alto,RFw,ambos,flexível,"DWman"
3.0,8.0,3341.6,417.7,12.5,34.64208762269572,31.67344984438592,1.0937263794406653,0.0,alto,SVM,numérico,flexível,"QBCRFw"
3.0,12.0,560.0,46.666666666666664,33.333333333333336,35.0,30.571428571428573,1.144859813084112,0.0,alto,5NN,numérico,flexível,"DWeuc"
3.0,12.0,560.0,46.666666666666664,33.333333333333336,35.0,30.571428571428573,1.144859813084112,0.0,alto,C4.5w,ambos,rígida,"TUmah"
3.0,12.0,560.0,46.666666666666664,33.333333333333336,35.0,30.571428571428573,1.144859813084112,0.0,alto,CIELM,numérico,flexível,"SVMsim"
3.0,12.0,560.0,46.666666666666664,33.333333333333336,35.0,30.571428571428573,1.144859813084112,0.0,alto,NB,nominal,flexível,"Mar"
3.0,12.0,560.0,46.666666666666664,33.333333333333336,35.0,30.571428571428573,1.144859813084112,0.0,alto,RFw,ambos,flexível,"\textbf{ATUeuc}"
3.0,12.0,560.0,46.666666666666664,33.333333333333336,35.0,30.571428571428573,1.144859813084112,0.0,alto,SVM,numérico,flexível,"EERacc"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,5NN,numérico,flexível,"DWeuc"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,C4.5w,ambos,rígida,"DWeuc"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,C4.5w,ambos,rígida,"DWman"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,C4.5w,ambos,rígida,"DWmah"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,CIELM,numérico,flexível,"SVMsim"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,NB,nominal,flexível,"DWmah"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,RFw,ambos,flexível,"DWman"
2.0,20.0,5920.0,296.0,0.0,50.486486486486484,49.513513513513516,1.019650655021834,0.0,alto,SVM,numérico,flexível,"TUeuc"
2.0,33.0,280.0,8.484848484848484,0.0,64.28571428571429,35.714285714285715,1.8,0.0,alto,5NN,numérico,flexível,"DWeuc"
2.0,33.0,280.0,8.484848484848484,0.0,64.28571428571429,35.714285714285715,1.8,0.0,alto,C4.5w,ambos,rígida,"DWmah"
2.0,33.0,280.0,8.484848484848484,0.0,64.28571428571429,35.714285714285715,1.8,0.0,alto,CIELM,numérico,flexível,"DWeuc"
2.0,33.0,280.0,8.484848484848484,0.0,64.28571428571429,35.714285714285715,1.8,0.0,alto,NB,nominal,flexível,"DWmah"
