,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,cohesiveness.mean,cohesiveness.sd,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,g_mean.mean,g_mean.sd,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,kurtosis.mean,kurtosis.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,nr_attr,nr_bin,nr_cat,nr_cor_attr,nr_inst,nr_norm,nr_num,nr_outliers,num_to_cat,one_itemset.mean,one_itemset.sd,range.mean,range.sd,sd.mean,sd.sd,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t2,t3,t4,t_mean.mean,t_mean.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,wg_dist.mean,wg_dist.sd,ch,int,nre,pb,sc,sil,vdb,vdu,dataset_id,query_number,estimator,best_strategy,best_score
0,0.009423840926244232,0.008472348844579612,3.4453714502880617,0.08456440370518067,0.06688963210702341,0.0,230.2371237458194,28.325266122167996,0.05584999058419043,0.12733638286160412,2583532.277332744,90844709.17577687,349354394.2057019,1590940719.960845,,,,,14.95,4176.39570293,16569.91138588298,16.69245901188868,54.398819498720755,3043.3309387854238,12107.789382591363,56643.21963719001,240395.9937777915,9074.693751205123,36338.03072835471,8474.822350620001,34468.63600043415,517.3258090200001,3005.9497758296625,100.0,0.0,0.0,0.02202020202020202,1495.0,0.0,100.0,80.0,,0.09140767824497258,0.010363512294435705,56125.89382817001,239291.23452284033,4969.968808115748,18108.924197978733,1.5011110094491888,2.915949689742155,0.0006983144510976893,0.002370566007936598,0.06688963210702341,0.0033444816053511705,0.05,8530.179250203579,34582.162870115586,0.1661065413966616,0.013392370118041945,349354394.20570177,1305877296.8590002,2.213791598564513,0.15281728040091916,319.4082961711815,260941.46144797804,0.5938355896104662,-0.23889945282509853,0.0,0.2547402831960165,1.577321715666346,1.529452259618968e-08,44564.0,0.0,DecisionTreeClassifier,uncertainty_batch_sampling,0.49343912114739086
0,0.006940011775460766,0.0016583254644881621,3.4454064058672094,0.08444271174407275,0.06711409395973154,0.0,228.93590604026846,28.17173762081938,0.05597779841654239,0.12756717946642282,2483442.744690651,86918494.1055166,308026486.22521067,1441912338.519698,,,,,14.9,4170.127886179999,16544.56438699482,19.55747014943519,77.48108200189945,3041.763279139767,12100.046662829234,51635.12963719001,214465.34382801357,9037.122202884582,36279.583400319105,8472.31092864,34451.7368287506,517.3258090200001,3005.9497758296625,100.0,0.0,0.0,0.02181818181818182,1490.0,0.0,100.0,80.0,,0.09140767824497258,0.01033910800215259,51117.803828170014,213282.03627770365,4670.107794743974,17003.16605724905,1.5578010145965115,3.332386326234775,0.0006981698906705208,0.002369999454249244,0.06711409395973154,0.003355704697986577,0.05,8527.773331889395,34569.74694834523,0.1661065413966616,0.013370301892241128,308026486.2252108,1150288922.0327225,2.2171057099910265,0.15414871550296427,359.7355364952377,254167.06412550568,0.6038851895711802,-0.27430033366171125,0.0,0.25362472404256475,1.5789943101800026,1.3391455634866737e-08,44564.0,1.0,DecisionTreeClassifier,uncertainty_sampling,0.528
0,0.006728243199968656,0.0010042839929905077,3.445400294117799,0.08453555464011546,0.06734006734006734,0.0,228.07794612794612,28.077376398024704,0.056047570768590446,0.12763318647071015,2478067.358665215,87083076.22705749,307405871.50345504,1440506439.186286,,,,,14.85,4161.728877660001,16509.814496427964,19.552828419154483,77.27682666434099,3035.73040798797,12075.853225926914,51635.12963719001,214465.34382801357,9032.073867208619,36262.075676477136,8468.458745979999,34437.46349719502,517.39942802,3005.9382485898423,100.0,0.0,0.0,0.02181818181818182,1485.0,0.0,100.0,80.0,,0.09140767824497258,0.010353281317552723,51117.73020917001,213282.0539501197,4666.16827330864,16985.81538792143,1.558858290436541,3.330301396278031,0.0006980672642604242,0.0023694854489037355,0.06734006734006734,0.003367003367003367,0.05,8522.881430234971,34552.5452719273,0.16610654139666153,0.01338745099932153,307405871.50345504,1147280133.3121989,2.2177349706591674,0.15437446479575098,359.8977120026702,254308.86017811863,0.6005461167089547,-0.2754099162473507,0.0,0.25508881343838014,1.570134733368416,1.3584721742082638e-08,44564.0,2.0,DecisionTreeClassifier,uncertainty_sampling,0.5411326994625878
0,0.008182242123593773,0.008704827880581335,3.4453625419727234,0.08467795454879955,0.06756756756756757,0.0,227.29341216216216,28.025816679207868,0.05613204175457511,0.12762313756915933,2478803.091120454,87210001.9742011,307413514.0413661,1440996380.3750288,,,,,14.8,4165.714837650001,16525.057290381625,19.525369907295733,77.05856444469822,3033.3922478459035,12068.3367683168,51635.12963719001,214465.34382801357,9030.7024913511,36255.60719360238,8465.005477595,34422.83440153274,517.39942802,3005.9382485898423,100.0,0.0,0.0,0.02202020202020202,1480.0,0.0,100.0,80.0,,0.09140767824497258,0.010380734625874998,51117.73020917001,213282.0539501197,4666.644792255985,16985.91039490416,1.5593459193164207,3.3273448747307137,0.0006979020536678903,0.0023689127095089814,0.06756756756756757,0.0033783783783783786,0.05,8521.399343915067,34546.74963301885,0.16610654139666153,0.013418936180561994,307413514.04136604,1146931264.5115469,2.2179734136378495,0.15458304175293042,359.393361828103,249300.42100525813,0.628085753199487,-0.25664796685234853,0.0,0.2423076134573447,1.5985304314443838,1.544295325400682e-08,44564.0,3.0,DecisionTreeClassifier,uncertainty_batch_sampling,0.5584232281479986
0,0.009817024350417064,0.01142662553891306,3.4453857464564215,0.08451083496060377,0.06779661016949153,0.0,224.84533898305085,27.731939542846543,0.055935562447001576,0.1277132150352113,2453850.261175813,85616744.58905579,284478322.30178607,1394469069.8503673,,,,,14.75,4156.838706585,16490.41575055273,24.317370171293764,133.84218980202036,3028.4930323806475,12050.138745435048,48245.12902166,189815.32043052485,9007.474812709486,36223.358187893515,8466.352436299998,34430.8426180978,517.39942802,3005.9382485898423,100.0,0.0,0.0,0.022222222222222223,1475.0,0.0,100.0,80.0,,0.09140767824497258,0.010345086215165646,47727.72959364,188467.9370763024,4429.621762463025,16356.408355325495,1.5826267136527488,4.061194436999714,0.000698457154209612,0.0023697208779814294,0.06779661016949153,0.003389830508474576,0.05,8519.460057414417,34538.896595140635,0.16610654139666153,0.013383331061347504,284478322.301786,1100485001.5557551,2.2268599653154584,0.15672642034040385,309.9219740856633,272581.9546125365,0.7920631049076483,-0.3755935199388473,0.0,0.26288464898253766,1.3504168121723756,2.3144806607976454e-08,44564.0,4.0,DecisionTreeClassifier,consensus_entropy_sampling,0.6470456113330445
0,0.018211115339097365,0.048776056475319116,3.4453576393313017,0.08476132509497349,0.06802721088435375,0.0,223.92448979591836,27.569579605179797,0.05594507815876496,0.12772584284623967,2464184.2117632413,85879498.20762011,285125657.8401126,1397951711.7616053,,,,,14.7,4163.653156537501,16514.80558461945,24.252177662451707,133.39960431908503,3029.0157526404087,12051.226630263045,48245.128997250016,189815.3204367917,9006.874858743053,36219.29359299171,8460.844925005,34404.859219339014,517.39949067,3005.9382376807675,100.0,0.0,0.0,0.022222222222222223,1470.0,0.0,100.0,80.0,,0.09140767824497258,0.01036867925841769,47727.72950658,188467.93709857148,4434.839843236955,16374.957888910327,1.5810121302654718,4.055358850094552,0.0006982304951179994,0.002369127524727183,0.06802721088435375,0.003401360544217687,0.05,8517.161616035102,34528.5312095967,0.16610654139666162,0.013410004494514021,285125657.84011275,1102851731.8826008,2.2277277120800165,0.156681422445625,309.5894205225728,270534.82986741036,0.8116016681175361,-0.36958886532926033,0.0,0.25864969830460055,1.3660761841070543,2.6297710072250714e-08,44564.0,5.0,DecisionTreeClassifier,consensus_entropy_sampling,0.6299274657832934
0,0.010014091222979962,0.01722399310645287,3.445303547599228,0.08491841958103094,0.06825938566552901,0.0,223.03762798634813,27.456066578285544,0.05596709205851089,0.12771777711834215,2463057.0092898086,85990051.22624785,285558736.7257024,1399883955.2551112,,,,,14.65,4164.35604736,16516.894143178386,24.26189777227981,133.0174212043782,3029.3048799742683,12049.836356213133,48245.127988650005,189815.32069571156,9014.234178772545,36248.34036770525,8464.314910309999,34416.80970932208,517.39949067,3005.9382376807675,100.0,0.0,0.0,0.022222222222222223,1465.0,0.0,100.0,80.0,,0.09140767824497258,0.010407360318978955,47727.72849798,188467.9373565457,4438.362770477675,16387.346456402323,1.5819323330579893,4.053383150965639,0.0006979712233047435,0.0023685355679719747,0.06825938566552901,0.0034129692832764505,0.05,8523.742409586826,34555.69747879969,0.16610654139666156,0.013453271765446556,285558736.72570235,1104440542.438685,2.2282036416662403,0.156770400949273,383.6490428283035,251235.4070202969,0.6028530482342058,-0.30613991415732567,0.0,0.2567737547009721,1.564827946008951,1.7035227342954243e-08,44564.0,6.0,DecisionTreeClassifier,uncertainty_batch_sampling,0.6133178927628337
0,0.0067177984258801615,0.0009272408498473252,3.4453674545773354,0.08449377467704,0.0684931506849315,0.0,222.35171232876712,27.31676140701633,0.056085186784898565,0.1278834872707334,2292386.2213216745,83852930.54859163,267398162.83335054,1364047758.181116,,,,,14.6,4154.031411695,16476.498990562948,25.88978710372221,148.98381794480855,3023.312672515211,12027.815313657282,38019.36798865,140530.89103375067,8983.80053786233,36166.6891866501,8456.681115205001,34386.96216513848,517.39949067,3005.9382376807675,100.0,0.0,0.0,0.022222222222222223,1460.0,0.0,100.0,80.0,,0.09140767824497258,0.010345295166538536,37501.96849797999,138718.984182469,4123.688853263502,15903.53982179613,1.6067330050369824,4.295288710361853,0.0006990864213700633,0.0023735257283378254,0.0684931506849315,0.0027397260273972603,0.04,8516.179538375798,34525.89584468361,0.16610654139666148,0.0133905262545427,267398162.83335045,1075691142.3490312,2.2275122318040004,0.15613799727738292,318.2181696221505,271919.3996596922,1.032332652315033,-0.45508731319222473,0.0,0.26076915668638007,1.2802902876726023,5.922898360638057e-08,44564.0,7.0,DecisionTreeClassifier,uncertainty_batch_sampling,0.6201386795296955
0,0.00853801081279978,0.01134457064685785,3.44541734428133,0.08438676211137251,0.06872852233676977,0.0,220.7078178694158,26.953207822838095,0.056080043074790774,0.1279484046970064,2276079.790350203,83634151.32058662,262397238.62263802,1348525600.2323556,,,,,14.55,4152.040084339999,16468.197330011757,11.448444089610575,37.59041084330506,3014.827353050729,11994.142796631173,33886.673207290005,134109.96592203743,8970.962042527744,36126.90221924828,8457.32504603,34391.895250575486,517.39949067,3005.9382376807675,100.0,0.0,0.0,0.022222222222222223,1455.0,0.0,100.0,80.0,,0.09140767824497258,0.010314789335615547,33369.27371662,132254.9917108836,4003.4432062199303,15775.242113982187,1.2322214689302537,2.1989224653685264,0.000698916432955536,0.002372931022845635,0.06872852233676977,0.0027491408934707906,0.04,8513.656734031889,34516.66359248446,0.1661065413966615,0.013362900463366684,262397238.62263817,1057675479.6910057,2.2313974284225035,0.15602542547589973,411.19444708672626,239725.4996049204,0.6286183177227727,-0.30221227215349034,0.0,0.24135683051097515,1.5652802641496657,3.730864914395134e-08,44564.0,8.0,DecisionTreeClassifier,uncertainty_batch_sampling,0.6281780725555222
0,0.011234563583185201,0.02000963041300987,3.4454276494437135,0.0842789063728924,0.06896551724137931,0.0,220.09801724137932,26.88419950042728,0.05605736803600221,0.12775581469888872,2274089.7354714987,83313000.1044696,260514307.58516824,1340458675.211853,,,,,14.5,4144.745469074999,16441.378040331623,11.48073009450226,37.54104502024301,3010.1155507830954,11980.301640330035,33886.673207290005,134109.96592203743,8965.232832836316,36108.6956349889,8449.059217065002,34356.338340393355,517.39949067,3005.9382376807675,100.0,0.0,0.0,0.022222222222222223,1450.0,0.0,100.0,80.0,,0.09140767824497258,0.010303535154745875,33369.27371662,132254.9917108836,3989.3738577133186,15718.457393679919,1.2344821543558684,2.2007179935638352,0.0006987142116228201,0.0023723183167589515,0.06896551724137931,0.002758620689655172,0.04,8511.161173466977,34508.247444078304,0.1661065413966615,0.013350543925704747,260514307.58516806,1049927109.9703746,2.230448799626841,0.15591821548275298,411.0696979487959,239122.04576785452,0.6273882077231523,-0.30383056778568907,0.0,0.24246362906889105,1.5615478559184905,3.7667786383350246e-08,44564.0,9.0,DecisionTreeClassifier,uncertainty_batch_sampling,0.6276186815298865
