,uncertainty_sampling,entropy_sampling,margin_sampling,uncertainty_batch_sampling,consensus_entropy_sampling,vote_entropy_sampling,max_disagreement_sampling,random_meta_sampling,random_sampling_choice,perfect_meta_sampling,perfect_sampling_choice,meta_sampling,meta_sampling_choice
0,0.8043326345213138,0.8043326345213138,0.8043326345213138,0.6643783371472158,0.8043326345213138,0.8043326345213138,0.8043326345213138,0.5333333333333333,uncertainty_batch_sampling,0.8043326345213138,uncertainty_sampling,0.8043326345213138,margin_sampling
1,0.8400000000000001,0.8400000000000001,0.8400000000000001,0.7103357472021066,0.8400000000000001,0.9210006583278473,0.819471308833011,0.48231233822260566,entropy_sampling,0.9210006583278473,vote_entropy_sampling,0.8400000000000001,margin_sampling
2,0.8958333333333333,0.8958333333333333,0.8958333333333333,0.7866666666666666,0.8958333333333333,0.9210006583278473,0.8465473145780051,0.7381818181818182,uncertainty_sampling,0.9210006583278473,uncertainty_sampling,0.8958333333333333,margin_sampling
3,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9479166666666667,0.9238095238095239,0.9210006583278473,0.871050934880722,0.8351648351648351,uncertainty_sampling,0.9479166666666667,consensus_entropy_sampling,0.9238095238095239,margin_sampling
4,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9226305609284333,0.9494949494949495,0.9210006583278473,0.871050934880722,0.8933333333333333,uncertainty_batch_sampling,0.9479166666666667,uncertainty_sampling,0.9494949494949495,margin_sampling
5,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9226305609284333,0.9494949494949495,0.9210006583278473,0.8976982097186701,0.9479166666666667,uncertainty_batch_sampling,0.9479166666666667,uncertainty_sampling,0.9494949494949495,margin_sampling
6,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.948849104859335,0.9494949494949495,0.8933333333333333,0.8976982097186701,0.9479166666666667,vote_entropy_sampling,1.0,entropy_sampling,0.9494949494949495,margin_sampling
7,0.9494949494949495,0.9494949494949495,0.9494949494949495,0.9746031746031746,0.9494949494949495,1.0,0.8976982097186701,0.9210006583278473,margin_sampling,1.0,uncertainty_sampling,0.9494949494949495,margin_sampling
8,0.9494949494949495,0.9494949494949495,0.9494949494949495,1.0,0.9494949494949495,1.0,0.8976982097186701,0.9210006583278473,entropy_sampling,1.0,uncertainty_sampling,0.9494949494949495,margin_sampling
9,0.9746031746031746,0.9746031746031746,0.9746031746031746,1.0,0.9746031746031746,1.0,0.8976982097186701,0.9210006583278473,max_disagreement_sampling,1.0,uncertainty_sampling,0.9746031746031746,uncertainty_sampling
10,0.9746031746031746,0.9746031746031746,0.9746031746031746,1.0,0.9746031746031746,1.0,0.9479166666666667,0.9210006583278473,consensus_entropy_sampling,1.0,uncertainty_sampling,0.9746031746031746,uncertainty_sampling
11,1.0,1.0,1.0,0.9746031746031746,1.0,0.9742101869761444,0.9479166666666667,1.0,entropy_sampling,1.0,uncertainty_sampling,1.0,uncertainty_sampling
12,0.9742101869761444,0.9742101869761444,0.9742101869761444,1.0,0.9742101869761444,0.9742101869761444,0.9479166666666667,1.0,entropy_sampling,1.0,uncertainty_sampling,0.9742101869761444,uncertainty_sampling
13,0.9742101869761444,0.9742101869761444,0.9742101869761444,1.0,0.9742101869761444,0.948849104859335,0.9479166666666667,1.0,uncertainty_sampling,0.948849104859335,uncertainty_sampling,0.9742101869761444,uncertainty_sampling
14,0.9746031746031746,0.9746031746031746,0.9746031746031746,1.0,0.9746031746031746,0.9742101869761444,0.9479166666666667,0.9742101869761444,vote_entropy_sampling,1.0,uncertainty_sampling,0.9746031746031746,uncertainty_sampling
15,0.9746031746031746,0.9746031746031746,0.9746031746031746,0.9746031746031746,0.9746031746031746,1.0,1.0,0.948849104859335,uncertainty_sampling,1.0,uncertainty_sampling,0.9746031746031746,uncertainty_sampling
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,vote_entropy_sampling,1.0,uncertainty_sampling,1.0,uncertainty_sampling
17,1.0,1.0,1.0,1.0,1.0,0.948849104859335,1.0,1.0,vote_entropy_sampling,1.0,entropy_sampling,1.0,uncertainty_sampling
18,0.9746031746031746,0.9746031746031746,0.9746031746031746,1.0,0.9746031746031746,0.9746031746031746,1.0,0.9742101869761444,vote_entropy_sampling,1.0,uncertainty_sampling,0.9746031746031746,uncertainty_sampling
19,0.9238095238095239,0.9238095238095239,0.9238095238095239,1.0,0.9238095238095239,1.0,0.9746031746031746,0.9742101869761444,uncertainty_sampling,1.0,uncertainty_sampling,0.9238095238095239,uncertainty_sampling
20,0.9245757385292269,0.9245757385292269,0.9245757385292269,1.0,0.9245757385292269,1.0,1.0,1.0,vote_entropy_sampling,1.0,uncertainty_sampling,0.9245757385292269,uncertainty_sampling
21,0.9746031746031746,0.9746031746031746,0.9746031746031746,1.0,0.9746031746031746,0.9742101869761444,0.9742101869761444,1.0,entropy_sampling,1.0,uncertainty_sampling,0.9746031746031746,uncertainty_batch_sampling
22,0.899749373433584,0.899749373433584,0.899749373433584,0.9494949494949495,0.899749373433584,0.9494949494949495,0.9494949494949495,0.9494949494949495,entropy_sampling,0.9494949494949495,uncertainty_sampling,0.899749373433584,uncertainty_sampling
