,dataset_id,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,test_f1_micro_mean,test_f1_micro_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std
0,3,0.19112873077392578,0.0015814426454141416,0.029408836364746095,0.0007205870082763321,0.9443202269170579,0.028982671592914528,0.9443202269170579,0.028982671592914528,0.9438090924753759,0.029610236073553037,0.9439948865075467,0.029419894709635516
1,12,0.820024061203003,0.021633650200534527,0.017749643325805663,0.0006534182519392581,0.968,0.006964194138592088,0.968,0.006964194138592088,0.9680180725332852,0.006903415024392929,0.9680180725332853,0.006903415024392932
2,14,0.9973721981048584,0.02570288458199743,0.01788806915283203,0.0004283559064236418,0.837,0.01576388277043442,0.837,0.01576388277043442,0.8358225671328634,0.01579356309505999,0.8358225671328636,0.015793563095060047
3,16,0.934747838973999,0.005144105110937531,0.017444658279418945,0.000198999371644298,0.958,0.008717797887081345,0.958,0.008717797887081345,0.9580145485862971,0.00872409608791685,0.9580145485862971,0.008724096087916827
4,18,0.2376772403717041,0.0027644486531779645,0.017534208297729493,0.00011565669298996488,0.7035,0.014282856857085705,0.7034999999999999,0.014282856857085663,0.700745889045403,0.016017705528882657,0.7007458890454029,0.016017705528882598
5,21,0.14520840644836425,0.02961642640708412,0.01635918617248535,0.0002712343730049638,0.7506643210186814,0.07240282486781517,0.7506643210186815,0.07240282486781516,0.44945815185789273,0.10802877050098661,0.7422473625374633,0.08841705359399875
6,22,0.8073639869689941,0.007983843284577566,0.018679332733154298,0.0002599385125707397,0.779,0.022056745000112763,0.779,0.022056745000112774,0.7749978192583215,0.021801200200056662,0.7749978192583216,0.021801200200056655
7,23,0.16609668731689453,0.0017780879697724345,0.017537403106689452,0.0001895869641395357,0.5118621007725124,0.030274173486120052,0.5118621007725124,0.030274173486120052,0.4895155335385656,0.030789299998636253,0.5088218178130428,0.028280923659215005
8,28,0.6984048843383789,0.10968530220337544,0.04342837333679199,0.013275214845759487,0.9784697508896798,0.00272189653750501,0.9784697508896798,0.00272189653750501,0.9784828457177625,0.0027431748376534055,0.9784491031124973,0.0027309450189405902
9,30,0.7508218288421631,0.053829146664690776,0.028378677368164063,0.0012530931358321294,0.9643682018147972,0.009537247727457149,0.9643682018147972,0.009537247727457149,0.7763736967571363,0.07624365869254263,0.963782714077541,0.009226973721998996
10,31,0.1492007255554199,0.001255636623768106,0.016451120376586914,9.082852967803856e-05,0.752,0.011661903789690611,0.752,0.011661903789690611,0.6628855849159077,0.015344373750985931,0.73204684284871,0.010404853202823595
11,36,0.32183327674865725,0.0028634114809344725,0.018541812896728516,0.0002775180380753196,0.9783549783549784,0.005644331086755545,0.9783549783549784,0.005644331086755545,0.9783686442777502,0.005582988079359952,0.9783686442777502,0.005582988079359995
12,37,0.13479418754577638,0.0011478972069320025,0.012944221496582031,0.0001757967392815886,0.7643663526016466,0.029157815471061672,0.7643663526016466,0.02915781547106164,0.7274469643323578,0.029125007481489645,0.7574778833770331,0.027475835771426513
13,44,0.5017726421356201,0.009544284842642295,0.0297548770904541,0.00075073975732949,0.9276204975688053,0.05441518596619372,0.9276204975688053,0.05441518596619372,0.9248609339570999,0.05496251865800336,0.9278268884690284,0.05362354042042098
14,50,0.21195240020751954,0.07483493354176637,0.022408008575439453,0.008755825721903842,0.879030322862129,0.10724957015071937,0.879030322862129,0.1072495701507194,0.8732318984115002,0.10504492799952693,0.8788508665586559,0.10734605208540769
15,54,0.17199339866638183,0.0009357418981843157,0.013309669494628907,7.296502924927573e-05,0.7576888270100939,0.012843021213294998,0.7576888270100939,0.012843021213295005,0.7515021882819235,0.01541766783017353,0.7492837564535968,0.015887644147571243
16,59,0.13951210975646972,0.0019963626640062157,0.010973262786865234,8.672177499707008e-05,0.934486921529175,0.042927385026916336,0.934486921529175,0.042927385026916336,0.9275985068474126,0.04744671513726573,0.9338841543726822,0.04327399198673143
17,60,1.8366196632385254,0.3120909831074633,0.03255014419555664,0.0004882610491954903,0.8507999999999999,0.014091131963046842,0.8507999999999999,0.014091131963046842,0.8503245724908688,0.014147944761308442,0.8501461197953292,0.014166168315466158
18,182,1.1218140125274658,0.3389301739077124,0.04863252639770508,0.021360688401495926,0.9121306376360809,0.006989799394788259,0.9121306376360809,0.006989799394788257,0.8926511369425084,0.009489217330887104,0.9096380437477711,0.007413358465211773
19,292,0.1233710765838623,0.0005445924889412231,0.010373163223266601,0.00022260530780430897,0.8608695652173914,0.029842406205759408,0.8608695652173914,0.029842406205759408,0.8592144822080587,0.02989967164583885,0.8608442951861726,0.029717898469310302
20,294,0.8774771213531494,0.017696151784983655,0.022284412384033205,0.0007694596183017641,0.8982128982128982,0.011065102171821543,0.8982128982128982,0.011065102171821543,0.8719687273757388,0.02968869509670231,0.892996232132307,0.018115588790318913
21,312,1.8590621948242188,0.020519690509355277,0.02331061363220215,0.00045381425312987814,0.9281295019884231,0.017641711431099185,0.9281295019884231,0.01764171143109917,0.8535662950956369,0.04286021258522169,0.9206445050281914,0.021612523696085944
22,316,1.0744696140289307,0.024329709478832437,0.022148799896240235,0.000506263793329503,0.9859333025340931,0.0008222776576586463,0.9859333025340931,0.0008222776576586463,0.496458330168544,0.00020836260561405307,0.9789499447310982,0.0012278301041684777
23,333,0.1047863483428955,0.0012887816483441005,0.013674259185791016,6.300135953090476e-05,0.9711711711711712,0.03341844502881333,0.9711711711711712,0.03341844502881333,0.9710346465135457,0.033639403903694465,0.9710252067540435,0.03366337896052704
24,334,0.11311049461364746,0.00270664919905828,0.013220787048339844,0.00039867615952413467,0.8149999999999998,0.09681023820971738,0.8149999999999998,0.09681023820971738,0.7928683531749275,0.110947083159809,0.8140219603713306,0.09843757472882975
25,335,0.10078945159912109,0.0013680348756525621,0.01267237663269043,8.321203260699325e-05,0.9765601965601964,0.01669511825556406,0.9765601965601964,0.01669511825556406,0.976480374333353,0.016788464223160493,0.9765228781086313,0.016743463655693402
26,375,2.256195306777954,0.22908859990245628,0.06786899566650391,0.028471892174822013,0.9137640375853641,0.005272342203379571,0.9137640375853641,0.005272342203379593,0.909554527275722,0.00728063199237842,0.9131197775523802,0.005799555425567154
27,1043,0.3077238082885742,0.00359068415540805,0.03387727737426758,0.0011647876920971177,0.8399792951711152,0.006687217022699164,0.8399792951711152,0.006687217022699138,0.7691931735705148,0.008993945299404144,0.8335728118003514,0.006478004468451384
28,1048,0.10763282775878906,0.0018245600803906338,0.012232780456542969,0.0028880973588570604,0.6260273972602739,0.06698821983120257,0.6260273972602739,0.06698821983120257,0.6157473102421889,0.06867954094829337,0.6214309848322104,0.0676859742001766
29,1050,0.29332823753356935,0.060149745574970624,0.013151264190673828,6.118149648196159e-05,0.9001904644875889,0.009379126164948542,0.9001904644875889,0.009379126164948542,0.5906054274330266,0.020582309110763267,0.8737066591805528,0.007091108937162443
30,1056,0.44882760047912595,0.0850023830167668,0.02863926887512207,0.008822970791928324,0.995034894858008,0.0005383965269289285,0.995034894858008,0.0005383965269289285,0.7697817893037543,0.028507776612805527,0.9942407847020004,0.0006098908009407822
31,1068,0.17565722465515138,0.0029064656888118648,0.012173223495483398,0.0006667122310894206,0.9314989197342138,0.025021683748744493,0.9314989197342138,0.025021683748744493,0.652738262185584,0.09750392346474834,0.9206379581824615,0.024468593836021287
32,1069,0.32385597229003904,0.05844449355235032,0.019457483291625978,0.0036619889455603446,0.995526927320977,0.0005657048895675562,0.995526927320977,0.0005657048895675562,0.49887918490430305,0.00014206082687961725,0.9936525437788972,0.0006556223382222716
33,1071,0.11761674880981446,0.001619777775851797,0.01005415916442871,0.0002991031687326032,0.9205555555555556,0.015038625775099117,0.9205555555555556,0.015038625775099117,0.5835106480780284,0.11310083752698462,0.9005132545888184,0.02345309693339357
34,1116,1.8957672595977784,0.19212914688349683,0.04119424819946289,0.0009746005655146291,0.7589101017759091,0.13412044054754763,0.7589101017759091,0.1341204405475476,0.6473470173802427,0.10773752733990584,0.7759301408419749,0.10517843270671111
35,1460,0.39869441986083987,0.03302415811231537,0.04857239723205566,0.031227670430786083,0.890943396226415,0.003706959000828021,0.890943396226415,0.003706959000828021,0.8894573504538063,0.00389038815192995,0.8907798892329921,0.003781110292416132
36,1462,0.17330398559570312,0.013033000123903616,0.013928699493408202,0.0003723723738302822,0.9941712010617121,0.0017793062721036131,0.9941712010617121,0.0017793062721036131,0.9941041779077638,0.0018002581457154743,0.9941739998652229,0.0017781810094988533
37,1464,0.13327908515930176,0.01564455390241701,0.013851308822631836,0.002301357609177422,0.6632930648769575,0.10574837671006518,0.6632930648769575,0.10574837671006518,0.499258646609129,0.06477209845402332,0.6369352029392201,0.08190626871821045
38,1475,1.974377727508545,0.1370371109718991,0.05149245262145996,0.013895669105617646,0.5778202641100049,0.04478809396590197,0.5778202641100049,0.04478809396590197,0.46884329783187095,0.052949563001910734,0.5630414587295445,0.050156573843833124
39,1479,1.0183581352233886,0.039431799370996105,0.015117979049682618,0.0003017488532005572,0.5668367173417679,0.012323067330640997,0.5668367173417679,0.012323067330640997,0.5655016875802696,0.012033799441910286,0.5654953264786332,0.012051365019305467
40,1480,0.12926840782165527,0.0014170990403887561,0.012218809127807618,0.00011426182482192301,0.7100943118184497,0.03170156886271174,0.7100943118184497,0.03170156886271174,0.6011514042379987,0.02530765911966609,0.6891935192248974,0.0194900538055019
41,1485,2.21104040145874,0.014143642808376405,0.024750137329101564,0.00046868745130713583,0.6938461538461539,0.010204999354939686,0.6938461538461539,0.010204999354939686,0.6934758715642932,0.010054528060903893,0.6934758715642932,0.010054528060903931
42,1487,0.5465804100036621,0.03324547028245009,0.01891775131225586,0.00013305358038344714,0.9325186519166453,0.0062774518572567455,0.9325186519166453,0.0062774518572567455,0.5534458020521364,0.04023934342004802,0.9128713133821215,0.0028219539423481625
43,1489,0.8375936031341553,0.12374622093226864,0.04211444854736328,0.018011607338921598,0.9093257272073183,0.004027244501163613,0.9093257272073183,0.004027244501163613,0.8896217168708365,0.00531982890970945,0.9088827223534397,0.0042037881886232515
44,1494,0.19201283454895018,0.002940891251565331,0.013324642181396484,6.0988311374076194e-05,0.8568720379146919,0.034096882935743984,0.8568720379146919,0.03409688293574394,0.8368660932235652,0.03735299907202515,0.8553778981640676,0.03357003716139001
45,1496,3.6825686931610107,0.2745644356270315,0.05664467811584473,0.020600594714018063,0.9481081081081081,0.0028152252237837495,0.9481081081081081,0.0028152252237837495,0.948089277394852,0.00282483018496369,0.9480802234887646,0.002827268711076155
46,1497,0.8587271690368652,0.013676012236390858,0.027456140518188475,0.00022073999822227523,0.9897385535332374,0.007310871333994829,0.9897385535332374,0.007310871333994829,0.9824216430326297,0.016360421550385147,0.9895248619250806,0.007667143273801828
