,dataset_id,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_accuracy_mean,test_accuracy_std,test_f1_micro_mean,test_f1_micro_std,test_f1_macro_mean,test_f1_macro_std,test_f1_weighted_mean,test_f1_weighted_std
0,3,3.3216904640197753,0.12415363139245034,0.030358028411865235,0.00039477101528070376,0.9709086463223787,0.01598338568578968,0.9709086463223787,0.01598338568578968,0.9707716937681244,0.016126390813191126,0.9708529444643764,0.01605880926929583
1,12,1.2426791191101074,0.2995135296648099,0.012717533111572265,0.00012724088416995747,0.883,0.020518284528683175,0.883,0.020518284528683175,0.8806438568947577,0.023104229129759277,0.8806438568947577,0.023104229129759228
2,14,1.9896800518035889,0.008063321794579107,0.012303876876831054,0.00017184568153908694,0.818,0.009137833441248513,0.818,0.009137833441248513,0.8173294616346582,0.009437027812992485,0.8173294616346582,0.009437027812992526
3,16,1.0967354774475098,0.04013608319395805,0.011996030807495117,8.463060314427898e-05,0.9685,0.009300537618869172,0.9685,0.009300537618869172,0.9685431710183195,0.00926402980423979,0.9685431710183195,0.009264029804239854
4,18,0.13422489166259766,0.05024963687581399,0.0080596923828125,6.0009610618774444e-05,0.30050000000000004,0.09339967880030424,0.30050000000000004,0.09339967880030424,0.19557248968657842,0.08876037534184499,0.19557248968657842,0.08876037534184499
5,21,0.6444835662841797,0.045674170855694474,0.009555912017822266,0.00018315423872272257,0.7887593197620844,0.06510775894538237,0.7887593197620844,0.06510775894538237,0.6115138836411262,0.11468703572276774,0.7908046775114583,0.07466015936098604
6,22,0.5093761920928955,0.1325905069064448,0.011067533493041992,6.669460495311119e-05,0.8039999999999999,0.019144189719076644,0.804,0.01914418971907668,0.793546864550889,0.013460317076280039,0.793546864550889,0.013460317076280077
7,23,0.4225172996520996,0.09383881113374457,0.009391260147094727,0.00026542841342463405,0.5661985472154963,0.012330109602121638,0.5661985472154963,0.012330109602121638,0.538897644462063,0.006895238441077879,0.561676353008392,0.00896862631535861
8,28,3.6264090061187746,0.1576366890766782,0.02125558853149414,7.25672839718652e-05,0.9756227758007118,0.005863792545652707,0.9756227758007118,0.005863792545652707,0.975621231633505,0.005867528759364339,0.9756029820933609,0.0058685133154494275
9,30,0.425693416595459,0.12470443678276245,0.01720571517944336,0.00019661326575007163,0.955046455135108,0.01323963520068133,0.955046455135108,0.01323963520068133,0.7018155810752933,0.061349077335429915,0.9505764022590476,0.014528419257183416
10,31,0.22438492774963378,0.054420805360691805,0.014139604568481446,3.8605085001942775e-05,0.6399999999999999,0.08921883209278184,0.6399999999999999,0.08921883209278184,0.5287098227208188,0.09162671536830355,0.5986510888646144,0.08094679168876584
11,36,0.7998929977416992,0.11031905550108147,0.009401035308837891,0.0003746353728549731,0.9515151515151515,0.0062132900841590085,0.9515151515151515,0.0062132900841590085,0.9511363710960088,0.006312885094345961,0.951136371096009,0.0063128850943459484
12,37,0.1510840892791748,0.04163034007237343,0.008563041687011719,9.893101300496732e-05,0.6589169000933706,0.03317913889400927,0.6589169000933706,0.03317913889400927,0.5654466237986304,0.05438024756900271,0.6212196577216458,0.030653233122043155
13,44,1.3201477527618408,0.3611449119497672,0.02737565040588379,0.007694696523687379,0.9117532927347402,0.049030211381655024,0.9117532927347402,0.049030211381654996,0.908167106806882,0.04880101825423943,0.9118591200738762,0.04808618511687688
14,50,0.5898048877716064,0.008428988208596014,0.012018299102783203,0.0001895809794846642,0.8884434991273997,0.09134336797059772,0.8884434991273997,0.09134336797059772,0.8833510978222996,0.09001296161043022,0.8889775593950263,0.0903190074636069
15,54,0.18587656021118165,0.03016107055498262,0.006602668762207031,3.230113352387011e-05,0.6265784893839192,0.04802658183720511,0.6265784893839192,0.04802658183720511,0.5869806354320961,0.06427269106796332,0.5852763924858424,0.06490603761190365
16,59,0.2659138679504395,0.0008989424556323265,0.008221673965454101,4.3935673288996325e-05,0.9174647887323945,0.03954557281501122,0.9174647887323945,0.03954557281501122,0.905193437751888,0.04662075896066793,0.9147570996663543,0.041533428982015466
17,60,2.0921507358551024,0.008860078741732265,0.02343740463256836,0.0050719191324482766,0.8333999999999999,0.009068627239003715,0.8333999999999999,0.009068627239003715,0.8334645339527788,0.009080149589308572,0.8333302143554796,0.009097641670003575
18,182,2.7248640060424805,0.09039941110204364,0.03372068405151367,0.005944846363914943,0.9116640746500778,0.005789894391597593,0.9116640746500778,0.005789894391597589,0.8942774246557367,0.006696861802039026,0.9103916192939578,0.005694064730221043
19,292,0.4110873222351074,0.002729085900460015,0.007200098037719727,6.289762283922077e-05,0.8637681159420291,0.03502332166259294,0.8637681159420291,0.03502332166259294,0.8624365269945601,0.034998398332880806,0.8638714156691479,0.03487014999812064
20,294,1.1376291751861571,0.1083987407929107,0.00821390151977539,6.814178173570857e-05,0.7936285936285936,0.021853483550889754,0.7936285936285936,0.021853483550889754,0.7295884041923857,0.021875252821967072,0.772583309721447,0.022753548297540657
21,312,3.6728429794311523,0.17696350031491664,0.020513486862182618,0.00405471554602467,0.9821395605627972,0.011559525291515537,0.9821395605627972,0.011559525291515537,0.96900754566207,0.020386840759183816,0.9819673540395628,0.011752440291717898
22,316,2.9403748989105223,0.44982910956725913,0.026287031173706055,0.005671375731746934,0.9822108721318209,0.002794835561929289,0.9822108721318209,0.0027948355619292794,0.5355083156812956,0.04924896899801523,0.9782352088681243,0.002541909570908729
23,333,0.3773465633392334,0.004067269789781118,0.009972000122070312,0.00030685783052890336,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
24,334,0.39644813537597656,0.0007585753107001754,0.010306310653686524,0.00016018218552901476,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
25,335,0.3809399127960205,0.0035723610063496786,0.010570192337036132,0.00011741746857966233,0.9801801801801803,0.015499685165842558,0.9801801801801803,0.015499685165842558,0.9801020719503779,0.015619027670478442,0.9801471253155685,0.015558995297443283
