instances,instance_hardness
1,0.2112444983156747
2,0.07456705684396603
3,0.1269592346987174
4,0.10923075198427923
5,0.7243540581138443
6,0.47036009961430014
7,0.10841500826788464
8,0.0851223380154178
9,0.18253752254348277
10,0.08617359341351283
11,0.8697996547534383
12,0.1750019701907104
13,0.21118431931589887
14,0.2677353086223718
15,0.06109513757448215
16,0.42392207878203325
17,0.10102431693540326
18,0.07955276862112337
19,0.06763549403146285
20,0.05194133640694831
21,0.7289126562374098
22,0.39838585045261843
23,0.3363818412282603
24,0.19226724054885358
25,0.18725296790164492
26,0.0548680658146945
27,0.5299076237988889
28,0.15047561335135584
29,0.0659937517121818
30,0.19530022736610553
31,0.10957186972042976
32,0.08560716111045807
33,0.13690361631931847
34,0.055143332272365675
35,0.34519986637512534
36,0.17803297832577258
37,0.3202839403863492
38,0.5512802401319963
39,0.12375119200282159
40,0.06397546707475377
41,0.8537195821300654
42,0.08630940560613254
43,0.06891415237874099
44,0.32463712364107356
45,0.38931653936742483
46,0.06502296273835373
47,0.061156018867759565
48,0.06362859834494183
49,0.23498525256439018
50,0.7162162244529511
51,0.05961689077989374
52,0.07657092702007573
53,0.23845641242189486
54,0.6492602017281975
55,0.07747467749388104
56,0.22440118965092903
57,0.12073835661664878
58,0.5523635766096777
59,0.4476246143145324
60,0.11580559021890124
61,0.4100498998413904
62,0.3367091978039267
63,0.4898342248004961
64,0.09860923713659409
65,0.0677781403921508
66,0.06212057262535975
67,0.07718275798529306
68,0.44808403744367287
69,0.2946663300093968
70,0.11479747712274502
71,0.08887170806603994
72,0.41489206833972814
73,0.8828663643800242
74,0.15111973487395147
75,0.7943386102159541
76,0.2322679950426596
77,0.23394992344539267
78,0.1565830752636539
79,0.07853079608636748
80,0.15314495373796067
81,0.3531771998463291
82,0.24682229829494107
83,0.07312153248226749
84,0.1910667534729884
85,0.06353045147171388
86,0.13939300702833612
87,0.5338795933525914
88,0.11953830869119653
89,0.45957760123925684
90,0.2879512007473036
91,0.28022432528701946
92,0.24248224635779336
93,0.08096988083192724
94,0.2070485316888141
95,0.8778508029098708
96,0.0715937535729484
97,0.15628897773480155
98,0.23224088957128797
99,0.40250701756608276
100,0.14826960511436393
101,0.1749541968138304
102,0.10331154106358897
103,0.23347253639928267
104,0.05819177540952114
105,0.06962141598094962
106,0.25258826378806076
107,0.30938756222885455
108,0.3338585934610844
109,0.8842120387578738
110,0.14973897812923276
111,0.1109358087161042
112,0.2248551827241786
113,0.8472394889865976
114,0.7001889750270676
115,0.23836269759455264
116,0.5666947494696222
117,0.14805267046222692
118,0.15067325264380393
119,0.0658623562483559
120,0.713177374316444
121,0.14434093693730832
122,0.04109930671415207
123,0.5673568170517019
124,0.06539605242419011
125,0.06725572993463258
126,0.07436940570681427
127,0.04906368671272421
128,0.12952228614519523
129,0.0499911196988837
130,0.12449812294069884
131,0.15284430448039465
132,0.08106033510185495
133,0.4063650849488142
134,0.058305116453315264
135,0.0856980564435389
136,0.07388054980503733
137,0.0719963401388245
138,0.11583319965703154
