Row,Area_Good_Normalized,Density_Good_Normalized,Purity_Good,Area_Best_Normalized,Density_Best_Normalized,Purity_Best
bagging,0.6972626364411829,1.153527143445834,0.9413341274568195,0.0,0.0,0.0
gradient_boosting,0.6239091602613049,1.2680335134357617,0.9270360278534665,0.002496086356674879,1.3434204326330632,0.7857142857142857
logistic_regression,0.5973383718835741,1.3529077498010855,0.8891523414344991,0.0,0.0,0.0
mlp,0.5862381356908145,1.2919072017868807,0.9228336495888678,0.0,0.0,0.0
random_forest,0.6964041739587877,1.163203654617181,0.943524541691307,0.0,0.0,0.0
svc_linear,0.5440988412559763,1.4214571232450672,0.9067822855373181,0.0,0.0,0.0
svc_rbf,0.663696171952054,1.1880481270410856,0.9434993924665857,0.10416581783721071,0.6231428023937712,0.0036900369003690036
instance_easiness,0.46636399946462054,1.525369124387031,0.9397306397306397,0.0,0.0,0.0
