Row,NumGoodAlgos
1,7
2,7
3,7
4,7
5,0
6,3
7,7
8,7
9,7
10,7
11,0
12,7
13,7
14,7
15,7
16,4
17,7
18,7
19,7
20,7
21,0
22,5
23,6
24,7
25,6
26,7
27,2
28,6
29,7
30,6
31,7
32,7
33,7
34,7
35,4
36,7
37,5
38,2
39,7
40,7
41,0
42,7
43,7
44,7
45,5
46,7
47,7
48,7
49,7
50,1
51,7
52,7
53,7
54,0
55,7
56,7
57,7
58,3
59,4
60,7
61,3
62,7
63,4
64,7
65,7
66,7
67,7
68,3
69,6
70,7
71,7
72,5
73,0
74,7
75,0
76,6
77,6
78,6
79,7
80,6
81,7
82,6
83,7
84,7
85,7
86,7
87,4
88,7
89,4
90,6
91,6
92,6
93,7
94,7
95,0
96,7
97,7
98,7
99,6
100,7
101,7
102,7
103,7
104,7
105,7
106,5
107,5
108,6
109,0
110,7
111,7
112,5
113,0
114,1
115,6
116,2
117,7
118,7
119,7
120,0
121,7
122,7
123,3
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,4
134,7
135,7
136,7
137,7
138,7
139,0
140,7
141,7
142,1
143,0
144,7
145,3
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,0
155,7
156,7
157,3
158,4
159,7
160,7
161,3
162,7
163,7
164,7
165,4
166,7
167,3
168,5
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,4
178,7
179,7
180,6
181,7
182,7
183,1
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,7
192,6
193,7
194,7
195,1
196,7
197,7
198,5
199,7
200,2
201,7
202,1
203,7
204,7
205,7
206,7
207,7
208,5
209,7
210,7
211,7
212,0
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,7
222,7
223,2
224,7
225,5
226,7
227,7
228,6
229,7
230,7
231,6
232,7
233,4
234,7
235,7
236,3
237,5
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,6
250,7
251,7
252,7
253,7
254,7
255,7
256,1
257,7
258,6
259,7
260,7
261,0
262,0
263,7
264,7
265,5
266,7
267,6
268,7
269,0
270,3
271,1
272,1
273,7
274,7
275,7
276,7
277,2
278,7
279,4
280,0
281,7
282,4
283,7
284,6
285,4
286,7
287,5
288,1
289,7
290,4
291,7
292,6
293,7
294,6
295,7
296,6
297,7
298,0
299,7
300,7
301,7
302,7
303,7
304,6
305,6
306,7
307,7
308,5
309,6
310,7
311,7
312,7
313,7
314,7
315,7
316,7
317,7
318,6
319,7
320,7
321,0
322,7
323,0
324,7
325,7
326,7
327,7
328,6
329,7
330,7
331,0
332,6
