Row,NumGoodAlgos
1,0
2,0
3,5
4,0
5,0
6,1
7,1
8,3
9,1
10,7
11,6
12,6
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,2
21,7
22,7
23,4
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,7
42,7
43,2
44,7
45,7
46,7
47,5
48,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,0
70,7
71,7
72,7
73,7
74,6
75,7
76,7
77,6
78,7
79,5
80,7
81,7
82,6
83,7
84,6
85,7
86,7
87,7
88,7
89,7
90,7
91,5
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,2
101,2
102,7
103,7
104,6
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,5
125,7
126,7
127,7
128,1
129,3
130,7
131,5
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,3
140,7
141,7
142,7
143,7
144,2
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,0
156,7
157,7
158,7
159,6
160,7
161,7
162,7
163,7
164,3
165,1
166,5
167,1
168,0
169,2
170,0
171,7
172,7
173,7
174,7
175,7
176,4
177,7
178,6
179,2
180,7
181,7
182,1
183,7
184,7
185,7
186,7
187,1
188,7
189,1
190,7
191,7
192,7
193,2
194,0
195,7
196,4
197,7
198,4
199,7
200,4
201,7
202,0
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,5
211,7
212,7
213,7
214,7
215,7
216,4
217,7
218,6
219,7
220,7
221,7
222,7
223,7
224,5
225,7
226,7
227,7
228,7
229,7
230,3
231,6
232,7
233,7
234,3
235,7
236,7
237,5
238,7
239,7
240,7
241,6
242,7
243,7
244,7
245,5
246,5
247,7
248,1
249,1
250,7
251,7
252,7
253,0
254,7
255,7
256,7
257,6
258,7
259,7
260,7
261,7
262,7
263,7
264,3
265,7
266,7
267,7
268,2
269,7
270,7
271,7
272,5
273,5
274,7
275,7
276,7
277,2
278,2
