instances,instance_hardness
1,0.9516241192272875
2,0.9075634426666601
3,0.39206088335093237
4,0.8943892297094818
5,0.8652891232862986
6,0.8456402435820372
7,0.7224324995123923
8,0.4778038423865081
9,0.804154866797393
10,0.2641088964105779
11,0.4192413627840489
12,0.39831007248375994
13,0.24556494685654917
14,0.23335200817628776
15,0.4300595118817462
16,0.3114299176213122
17,0.2543299986954918
18,0.2447412369923192
19,0.25035930834794795
20,0.5094673843880694
21,0.27579870751200397
22,0.25982405083092264
23,0.5353300660768547
24,0.20200973963912028
25,0.22660992707303718
26,0.22601007817496033
27,0.26063789127207293
28,0.3310256509057199
29,0.20330716001293447
30,0.21392401085192625
31,0.19315846580359508
32,0.2246901159192285
33,0.4807258791805338
34,0.24201918342098816
35,0.22218147546111333
36,0.23946535431984717
37,0.242804328558627
38,0.2837629850785245
39,0.21800722536305095
40,0.22609585534479815
41,0.22430545784586775
42,0.21894686049266254
43,0.6738117913163979
44,0.20844845179065508
45,0.21863189308777597
46,0.20561967683405735
47,0.5928858062229043
48,0.24970607317780724
49,0.24013685400282814
50,0.3880442311819655
51,0.25322864614105667
52,0.19952857954139858
53,0.23864820735528225
54,0.26379924049144776
55,0.29396911456170816
56,0.21848928244003907
57,0.24495107557317508
58,0.23090034208105326
59,0.3385192117043002
60,0.1979743292879278
61,0.2569846909645044
62,0.20790999044976177
63,0.2635229544235579
64,0.22018022249554092
65,0.320364311314997
66,0.3432408314778308
67,0.2413735550453593
68,0.21517804142116914
69,0.9175213807004742
70,0.22302540850958474
71,0.2536386949292093
72,0.22081944133299136
73,0.26322121703848167
74,0.32679255651865347
75,0.2177248202330586
76,0.227730469544969
77,0.35461740807566067
78,0.27036419462802874
79,0.5182483640539273
80,0.24896475782061
81,0.2224314403575367
82,0.5778160109880568
83,0.25324440886038946
84,0.39215131988994667
85,0.23903615515203447
86,0.2608192417768954
87,0.23396060938752117
88,0.22464456651844267
89,0.23200633867292741
90,0.31079372247859915
91,0.3281743982698838
92,0.2525695098506946
93,0.2537357069470757
94,0.21684087275891284
95,0.2207994196760933
96,0.2873179920735729
97,0.28466067556591224
98,0.2729595572575143
99,0.26301570326910795
100,0.6347113346210356
101,0.6630567599859898
102,0.33148908849988856
103,0.26123131687239687
104,0.525720951693772
105,0.22591364025107574
106,0.24683382968706358
107,0.25579757779921675
108,0.23032705153770416
109,0.28261163773600095
110,0.2526451547277251
111,0.29129300352387477
112,0.2241161679796686
113,0.27279799045440534
114,0.23590167256709216
115,0.32556894038504547
116,0.24595515677098412
117,0.26080035007055213
118,0.516963261911829
119,0.2874011872492582
120,0.3098085786769935
121,0.2749301147833635
122,0.27366408209059445
123,0.3548749192712206
124,0.5183081956507918
125,0.36272015752364783
126,0.3038352869174593
127,0.23804759075297866
128,0.717339199894852
129,0.6044431942936423
130,0.2421818183225103
131,0.42041717602921425
132,0.331322990348235
133,0.32718184470532574
134,0.26884384898901015
135,0.20894110682360256
136,0.3052815200690856
137,0.30615623468413267
138,0.26810782439902103
139,0.5722793052498318
140,0.27789343054496884
141,0.2981778687228731
142,0.32528091989590024
143,0.29799507508053213
144,0.6711221510734742
145,0.2701501759295163
146,0.24967539597010335
147,0.25769832230800904
148,0.3425860620374399
149,0.27608615372950207
150,0.31183481259238377
151,0.29332355670479293
152,0.2511599916505486
153,0.3982952287995579
154,0.20723942138538554
155,0.8742818814151538
156,0.26723151921071
157,0.2132654693655549
158,0.21971898855296623
159,0.3582083540117319
160,0.28579765017195646
161,0.24974331003190964
162,0.2776245405751906
163,0.26571789530850276
164,0.6220699513666565
165,0.7629188910229694
166,0.42066689763876286
167,0.709160385123242
168,0.9103422807193273
169,0.6592941594636716
170,0.8923430521590784
