instances,feature_CL,feature_kDN,feature_N2,feature_TD_U,feature_N1,feature_TD_P,feature_DCP,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.996124596823588,1.0,0.8923708050085818,0.5416666666666666,1.0,0.5,0.9966701352757544,5.292521085679091,3.1520747410398915,2.1842316712602914,3.769183368998436,5.7992926687168005,2.241563568143155,3.081686126228186
2,0.983591308480418,1.0,0.7768241638956577,0.75,1.0,0.5,0.9966701352757544,5.272034691857348,2.1211287886709314,1.5567403175752477,3.7179389658387083,5.204426650294742,1.5498245959837802,2.6715785364807254
3,0.9364733895105293,0.8,0.4343843700440285,0.4583333333333333,0.5,1.0,0.8471337579617835,0.03334394491330268,0.7255459496348567,1.4313119793682052,0.10742895573428858,0.02545271500036421,1.4096784724194118,0.8027790306288692
4,0.9860368124293902,1.0,0.6787930352988308,0.25,1.0,1.0,0.8471337579617835,5.1280562006563635,2.0351183050339086,1.4700237608629936,3.87082581158207,4.449947084953785,1.4440965332917526,2.2606490644205506
5,0.9939809196287999,1.0,0.8275255931915085,0.4166666666666667,1.0,0.5,0.9954214360041623,5.379125931236421,1.338089747067041,1.8211960159906577,2.5917453295930413,5.835630772116227,1.7135056272913904,1.362022472185069
6,0.9851057238747781,1.0,0.8226806639159839,0.375,1.0,0.5,0.9954214360041623,5.558804538169037,0.7531740247433213,1.5601359424657573,3.7926027793435892,3.143284375519317,1.7272206466443143,1.882348232973306
7,0.9912405238171815,0.9,0.6345319028055145,0.5833333333333334,1.0,0.5,0.9954214360041623,0.4035604700528092,1.2252591227611103,1.5532985629602767,1.9902513348563804,1.815684623799459,1.4874191414838236,1.4086967747402561
8,0.9242321867919054,0.5,0.6153691528219506,0.3333333333333333,1.0,1.0,0.7837837837837838,0.15795347080946406,1.068887899710754,1.467676172875674,0.14560564867023754,0.05291157149543775,1.4985553435313947,1.654342098897625
9,0.922649832638637,1.0,0.6392412270893769,0.4583333333333333,1.0,1.0,0.7837837837837838,4.850999404796277,1.0031184520105434,1.5037407643968215,2.0462445106135596,5.208891458669672,1.575217921971213,0.8383698130845443
10,0.02201477266658336,0.0,0.09128781750155257,0.8333333333333334,0.0,0.5,0.018522372528615993,0.022418503378977397,0.29143421727259144,0.5821047978408617,0.2687180930804113,0.014061467884664,0.5953920064871596,0.5695986184479318
11,0.0197968708802585,0.0,0.1268341967695925,0.5416666666666666,0.0,0.5,0.018522372528615993,0.07382978385487264,0.8501196469350588,0.5624914908820395,1.4386132042158404,0.24531334332197569,0.5853807352608387,0.5749739307691896
12,0.020713723812818108,0.0,0.26771476295242647,0.5416666666666666,0.0,0.5,0.018522372528615993,0.02386027900004751,0.8113602401038107,0.5927540266095424,1.7024301514100588,0.03774215472403561,0.618762029570478,0.5896179221007206
13,0.013960331918213886,0.0,0.19303092488486862,0.2916666666666667,0.0,0.5,0.018522372528615993,0.022418503378977397,0.5524281286530097,0.4200657481002971,0.11863314306241018,0.014591624997991461,0.45917276161570647,0.5705645425753594
14,0.0193632677160559,0.0,0.03762818050171324,0.5416666666666666,0.0,0.5,0.018522372528615993,0.02267685066970112,0.2719471635785676,0.5159843797087553,0.1154231095253424,0.01451407507696911,0.5330842186940342,0.5677872873187739
