,random_sampling,training_utility_sampling,density_weighted_sampling,margin_sampling,expected_error_reduction,random_meta_sampling,random_sampling_choice,perfect_meta_sampling,perfect_sampling_choice,meta_sampling,meta_sampling_choice
0,0.25641025641025644,0.25641025641025644,0.25641025641025644,0.25641025641025644,0.25641025641025644,0.25641025641025644,training_utility_sampling,0.25641025641025644,training_utility_sampling,0.25641025641025644,training_utility_sampling
1,0.25641025641025644,0.29941259204103576,0.25641025641025644,0.25641025641025644,0.25641025641025644,0.29941259204103576,training_utility_sampling,0.29941259204103576,training_utility_sampling,0.29941259204103576,training_utility_sampling
2,0.25641025641025644,0.36956521739130427,0.25641025641025644,0.25641025641025644,0.3561517113783534,0.27105152911604524,expected_error_reduction,0.36956521739130427,training_utility_sampling,0.27105152911604524,expected_error_reduction
3,0.29941259204103576,0.650075414781297,0.33403412306945907,0.25641025641025644,0.2750000000000001,0.27105152911604524,margin_sampling,0.650075414781297,training_utility_sampling,0.27105152911604524,training_utility_sampling
4,0.29941259204103576,0.6597701149425287,0.33403412306945907,0.25641025641025644,0.3671917018824433,0.25641025641025644,training_utility_sampling,0.6627642020900448,expected_error_reduction,0.25641025641025644,training_utility_sampling
5,0.3893297713522433,0.667410003185728,0.44012066365007535,0.25641025641025644,0.590247264581718,0.32662905731338404,expected_error_reduction,0.6403854210305824,training_utility_sampling,0.32097560975609757,training_utility_sampling
6,0.43757575757575756,0.667410003185728,0.43757575757575756,0.25641025641025644,0.5499118165784833,0.5389576302962129,training_utility_sampling,0.650075414781297,margin_sampling,0.32097560975609757,training_utility_sampling
7,0.5422529967984513,0.6717069620764939,0.4376072201088983,0.25641025641025644,0.5097210481825866,0.38278560250391236,expected_error_reduction,0.6446078431372549,margin_sampling,0.32097560975609757,training_utility_sampling
8,0.582472613458529,0.6449077521303881,0.5216301447400339,0.3037214885954382,0.5157495256166983,0.3942794793858624,training_utility_sampling,0.6446078431372549,training_utility_sampling,0.5241291862459909,training_utility_sampling
9,0.6086369770580298,0.6330336330336331,0.508994708994709,0.24675324675324675,0.5218099894545105,0.3958333333333333,margin_sampling,0.6577639751552795,expected_error_reduction,0.5515908415105559,training_utility_sampling
10,0.6065194010093489,0.6403854210305824,0.5152485107139682,0.27775531656828656,0.5218099894545105,0.6259467566554181,expected_error_reduction,0.6732394366197183,expected_error_reduction,0.5511904761904762,training_utility_sampling
11,0.6015081692501048,0.6375,0.5215208034433285,0.27775531656828656,0.48411094040591895,0.6097196261682243,density_weighted_sampling,0.6801470588235294,expected_error_reduction,0.5343443354148082,training_utility_sampling
12,0.6229900786862812,0.6369327073552425,0.5215208034433285,0.2722007722007722,0.5208479463798613,0.497610513739546,density_weighted_sampling,0.6801470588235294,training_utility_sampling,0.5258268301746563,training_utility_sampling
13,0.6641019276909075,0.6577639751552795,0.5404882542607095,0.2722007722007722,0.5352792085683918,0.497610513739546,training_utility_sampling,0.6801470588235294,training_utility_sampling,0.5414335794734094,training_utility_sampling
14,0.6716616716616717,0.6550860719874805,0.5404882542607095,0.2722007722007722,0.5171495171495172,0.515946348733234,training_utility_sampling,0.6679817436373482,training_utility_sampling,0.5406640268047518,training_utility_sampling
15,0.6716616716616717,0.6680565775488513,0.5404882542607095,0.27775531656828656,0.5436195689360246,0.5515908415105559,expected_error_reduction,0.6597701149425287,density_weighted_sampling,0.5149342891278376,training_utility_sampling
16,0.6416260162601626,0.6680565775488513,0.5404882542607095,0.27775531656828656,0.5502713879555441,0.577554812337421,training_utility_sampling,0.6750700280112044,density_weighted_sampling,0.5120192307692307,training_utility_sampling
17,0.6379351740696277,0.6680565775488513,0.5404882542607095,0.2919540229885057,0.5636427259207418,0.532258064516129,margin_sampling,0.6992221261884184,training_utility_sampling,0.5120192307692307,training_utility_sampling
18,0.6379351740696277,0.6680565775488513,0.5468749999999999,0.3101721439749609,0.5565039566106518,0.568837347606304,expected_error_reduction,0.7014157014157014,expected_error_reduction,0.4737859745668179,training_utility_sampling
19,0.6416260162601626,0.6756578947368421,0.5468749999999999,0.4648809523809524,0.5631276901004304,0.6113468840741567,expected_error_reduction,0.7092261664106088,expected_error_reduction,0.543030303030303,training_utility_sampling
20,0.6565789473684212,0.6598240469208212,0.5468749999999999,0.4913415087328131,0.54880144730891,0.6113468840741567,training_utility_sampling,0.6913928012519561,margin_sampling,0.5506949191159718,training_utility_sampling
21,0.6565789473684212,0.6598240469208212,0.5533013994552456,0.5249795249795249,0.54880144730891,0.6113468840741567,density_weighted_sampling,0.7118012422360248,margin_sampling,0.5506949191159718,training_utility_sampling
22,0.6209467951403436,0.6416260162601626,0.5533013994552456,0.4699969540054828,0.534136546184739,0.6106511523830834,density_weighted_sampling,0.7174510882376051,density_weighted_sampling,0.6006259780907669,training_utility_sampling
23,0.6209467951403436,0.6416260162601626,0.5684523809523809,0.4519685039370079,0.534136546184739,0.5857142857142857,expected_error_reduction,0.7174510882376051,training_utility_sampling,0.6006259780907669,training_utility_sampling
24,0.6086369770580298,0.611978337050016,0.5684523809523809,0.4596410843833524,0.5631276901004304,0.5857142857142857,margin_sampling,0.7174510882376051,training_utility_sampling,0.615530303030303,expected_error_reduction
25,0.6031474512487169,0.611978337050016,0.5684523809523809,0.5098591549295775,0.5631276901004304,0.6090686274509804,margin_sampling,0.7070707070707072,training_utility_sampling,0.615530303030303,training_utility_sampling
26,0.5960934182590234,0.6081081081081081,0.5533013994552456,0.5064593486501121,0.5631276901004304,0.5989243180945063,density_weighted_sampling,0.7118012422360248,training_utility_sampling,0.611978337050016,training_utility_sampling
