,uncertainty_sampling,entropy_sampling,margin_sampling,uncertainty_batch_sampling,consensus_entropy_sampling,vote_entropy_sampling,max_disagreement_sampling,random_meta_sampling,random_sampling_choice,perfect_meta_sampling,perfect_sampling_choice,meta_sampling,meta_sampling_choice
0,0.5316839997416187,0.5316839997416187,0.5316839997416187,0.47791034627899825,0.4414520514730078,0.4745139253809774,0.3402777777777778,0.5316839997416187,uncertainty_sampling,0.5441416146261961,uncertainty_sampling,0.5316839997416187,margin_sampling
1,0.5382618679179354,0.5517418032786885,0.6310352097828379,0.358974358974359,0.3494274961966531,0.4915254237288136,0.3564941477392304,0.47599161586585387,max_disagreement_sampling,0.485894222736328,uncertainty_sampling,0.594263381028087,margin_sampling
2,0.561691869384177,0.5856064629298829,0.4688803210323393,0.358974358974359,0.3353627600202943,0.39553524112347643,0.6942587659781206,0.5822890559732665,uncertainty_sampling,0.5838383838383838,uncertainty_sampling,0.47088558884749265,margin_sampling
3,0.4724085334001964,0.5945403452428744,0.4715423062486418,0.4186666666666667,0.35233160621761656,0.358974358974359,0.3227554179566563,0.3631795659152767,vote_entropy_sampling,0.6022727272727273,uncertainty_sampling,0.5701096846358036,margin_sampling
4,0.5899923232605206,0.5708395501435882,0.44663179957297605,0.3689061812455129,0.358974358974359,0.5878351340536214,0.358974358974359,0.33845766129032256,vote_entropy_sampling,0.6464167457029235,entropy_sampling,0.6656407612111056,margin_sampling
5,0.5933252872960068,0.6103896103896104,0.5344506517690875,0.44663179957297605,0.42536213028016306,0.6233974358974359,0.46697346477802876,0.362413884472708,max_disagreement_sampling,0.6476391825229034,uncertainty_sampling,0.5602352113383927,margin_sampling
6,0.5907242071863765,0.6092428173190029,0.6484183059692641,0.4338519979545621,0.5451788963007884,0.6314102564102564,0.6691293494831716,0.358974358974359,max_disagreement_sampling,0.6999951999231988,consensus_entropy_sampling,0.7076210769156828,margin_sampling
7,0.6267696267696268,0.6237206502107164,0.6559479054779807,0.3917274939172749,0.5956202563145452,0.6576682316118936,0.554367201426025,0.6368887627506302,entropy_sampling,0.7118340163934427,entropy_sampling,0.707622454595487,margin_sampling
8,0.6040655075793174,0.6575839120836624,0.6790653081785534,0.5036868973340897,0.5650012428535918,0.358974358974359,0.5549880040244562,0.6403472509301364,vote_entropy_sampling,0.7512198253723678,uncertainty_batch_sampling,0.6940235472582785,margin_sampling
9,0.6054292929292929,0.6931722756927847,0.6932816410659077,0.5356356631810677,0.6209717227275933,0.6370537510276189,0.6277651730005672,0.6179966044142615,uncertainty_batch_sampling,0.7372742200328407,entropy_sampling,0.7003629888363812,margin_sampling
10,0.601029601029601,0.7033164410802488,0.7002398081534772,0.5328256117340103,0.6454870068852403,0.6482937738979873,0.5839177185600748,0.6540294886470417,entropy_sampling,0.7384895154411883,margin_sampling,0.6701388888888888,margin_sampling
11,0.6223316912972086,0.6888888888888889,0.6936274509803921,0.5009436701509873,0.6439560439560439,0.6543533749290982,0.6632908292665862,0.6823056981649978,entropy_sampling,0.7630873799098098,uncertainty_batch_sampling,0.7155858930602959,margin_sampling
12,0.6314858490566038,0.6828030450907672,0.7234693213611816,0.540969540969541,0.6145309137735305,0.6953204561011035,0.6524064171122994,0.6931483816729718,uncertainty_batch_sampling,0.7694942044257113,margin_sampling,0.7228742827334377,margin_sampling
13,0.6515193755227209,0.6843175519441119,0.7121263724679285,0.5125438710516054,0.6259392624015521,0.7021623827009384,0.674679816450928,0.6871617965367965,max_disagreement_sampling,0.7880803338549818,uncertainty_batch_sampling,0.6940418679549114,margin_sampling
14,0.6499999999999999,0.7121263724679285,0.7147235263432447,0.5619183722077612,0.5941225667852867,0.7184822521419829,0.6823056981649978,0.6895139634801288,entropy_sampling,0.7668940472100898,margin_sampling,0.68,margin_sampling
15,0.673418768085986,0.7076210769156828,0.6964595036505804,0.5257487947928088,0.5992139421833791,0.7044334975369457,0.6530060632624735,0.64349376114082,consensus_entropy_sampling,0.7646103896103895,uncertainty_sampling,0.7423565784953624,margin_sampling
16,0.6746697898366842,0.714350086097298,0.678396378498966,0.5289273501291089,0.594263381028087,0.7155858930602959,0.7161930903607313,0.6918019313745634,vote_entropy_sampling,0.7607810700789828,entropy_sampling,0.7212931995540691,margin_sampling
17,0.6689490343001099,0.7146806834804134,0.6888888888888889,0.5265151515151515,0.622663415766864,0.717819109780635,0.7012417949739345,0.7099621689785625,vote_entropy_sampling,0.7508140075752541,uncertainty_sampling,0.7435312891827197,consensus_entropy_sampling
18,0.6594458103528473,0.7431946584488958,0.6828030450907672,0.5399305555555556,0.6104940443282907,0.7184822521419829,0.7267759562841529,0.6982224059528731,max_disagreement_sampling,0.7696969696969698,margin_sampling,0.7304097771387491,margin_sampling
19,0.6925170960494597,0.7275641025641026,0.729064039408867,0.5686046710290273,0.6198769783675444,0.7212931995540691,0.7173043492936828,0.7138876449221276,uncertainty_batch_sampling,0.7654632505175983,consensus_entropy_sampling,0.7283324552160169,consensus_entropy_sampling
20,0.6969994758909853,0.7108155002891845,0.7221807566635152,0.5620241223637221,0.6223818474758325,0.7370573799228701,0.6954096954096954,0.7004269970127086,max_disagreement_sampling,0.778436648995311,entropy_sampling,0.7492559890823591,margin_sampling
21,0.7212121212121212,0.7012466894903431,0.7004269970127086,0.5890692418327512,0.6448863636363636,0.7283324552160169,0.707622454595487,0.7278148816197858,margin_sampling,0.778436648995311,uncertainty_sampling,0.7238297802179684,max_disagreement_sampling
