,random_sampling,training_utility_sampling,density_weighted_sampling,margin_sampling,expected_error_reduction,random_meta_sampling,random_sampling_choice,perfect_meta_sampling,perfect_sampling_choice,meta_sampling,meta_sampling_choice,meta_sampling_ideal_choice
0,0.6753246753246753,0.6753246753246753,0.7868750967342517,0.6753246753246753,0.6753246753246753,0.6753246753246753,training_utility_sampling,0.7868750967342517,density_weighted_sampling,0.6753246753246753,training_utility_sampling,density_weighted_sampling
1,0.3723045822102426,0.8017135862913096,0.7868750967342517,0.7868750967342517,0.5092474489795918,0.7868750967342517,density_weighted_sampling,0.7868750967342517,training_utility_sampling,0.75,training_utility_sampling,density_weighted_sampling
2,0.6753246753246753,0.8386206896551724,0.7868750967342517,0.3255302435192459,0.42500000000000004,0.7868750967342517,expected_error_reduction,0.8888211072136647,training_utility_sampling,0.7631214406649223,training_utility_sampling,density_weighted_sampling
3,0.7601683029453016,0.8143621084797555,0.7868750967342517,0.6309505106048704,0.7868750967342517,0.8763736263736264,training_utility_sampling,0.9010989010989011,density_weighted_sampling,0.8143621084797555,density_weighted_sampling,training_utility_sampling
4,0.7868750967342517,0.7769277845777234,0.6789634146341463,0.49350649350649345,0.6309505106048704,0.8888211072136647,training_utility_sampling,0.9010989010989011,density_weighted_sampling,0.8512851897184823,training_utility_sampling,training_utility_sampling
5,0.7868750967342517,0.8641146865944792,0.826923076923077,0.6642219387755102,0.6309505106048704,0.8641975308641975,density_weighted_sampling,0.8888211072136647,margin_sampling,0.8386206896551724,training_utility_sampling,expected_error_reduction
6,0.7868750967342517,0.8641975308641975,0.7153552330022919,0.487258561921766,0.3333333333333333,0.9010989010989011,density_weighted_sampling,0.8888211072136647,training_utility_sampling,0.8386206896551724,training_utility_sampling,density_weighted_sampling
7,0.7868750967342517,0.8765243902439024,0.7153552330022919,0.7736024844720497,0.6309505106048704,0.8888211072136647,margin_sampling,0.8888211072136647,density_weighted_sampling,0.8763736263736264,density_weighted_sampling,density_weighted_sampling
8,0.7868750967342517,0.8763736263736264,0.7749999999999999,0.7868750967342517,0.6309505106048704,0.8888211072136647,training_utility_sampling,0.8888211072136647,margin_sampling,0.8888211072136647,density_weighted_sampling,density_weighted_sampling
9,0.7868750967342517,0.8763736263736264,0.7512285012285012,0.8641146865944793,0.7736024844720497,0.8888211072136647,density_weighted_sampling,0.8888211072136647,training_utility_sampling,0.8009828009828011,density_weighted_sampling,expected_error_reduction
10,0.8641975308641975,0.8518292682926829,0.8009828009828011,0.7144827586206897,0.761801578702987,0.826923076923077,density_weighted_sampling,0.8888211072136647,training_utility_sampling,0.775,density_weighted_sampling,training_utility_sampling
11,0.8394082659752936,0.8641146865944792,0.7512285012285012,0.8641146865944793,0.8763736263736264,0.8765243902439024,expected_error_reduction,0.8888211072136647,training_utility_sampling,0.8516483516483517,density_weighted_sampling,training_utility_sampling
12,0.8391138273491215,0.8763736263736264,0.7749999999999999,0.75,0.7144827586206897,0.8271341463414634,margin_sampling,0.8888211072136647,training_utility_sampling,0.8143621084797554,density_weighted_sampling,training_utility_sampling
13,0.8641975308641975,0.8763736263736264,0.8009828009828011,0.8888211072136648,0.8009828009828011,0.8271341463414634,density_weighted_sampling,0.9253685503685504,training_utility_sampling,0.8395061728395061,density_weighted_sampling,training_utility_sampling
14,0.8641975308641975,0.9259146341463413,0.7749999999999999,0.9008567931456548,0.9131034482758621,0.8271341463414634,margin_sampling,0.8641146865944792,margin_sampling,0.8516483516483517,training_utility_sampling,margin_sampling
15,0.8009828009828011,0.9135802469135803,0.7749999999999999,0.7896103896103895,0.8269230769230769,0.8271341463414634,margin_sampling,0.8641146865944792,margin_sampling,0.826499388004896,density_weighted_sampling,density_weighted_sampling
16,0.8394082659752936,0.8765243902439024,0.7749999999999999,0.8394082659752936,0.9258241758241758,0.8271341463414634,expected_error_reduction,0.8763736263736264,training_utility_sampling,0.826499388004896,training_utility_sampling,density_weighted_sampling
17,0.8009828009828011,0.8888888888888891,0.8009828009828011,0.8516483516483515,0.8765243902439024,0.8271341463414634,margin_sampling,0.8763736263736264,margin_sampling,0.8516483516483517,expected_error_reduction,expected_error_reduction
18,0.8394082659752936,0.8765243902439024,0.7512285012285012,0.7901234567901235,0.8641975308641975,0.8763736263736264,margin_sampling,0.9504283965728274,margin_sampling,0.8516483516483517,density_weighted_sampling,density_weighted_sampling
19,0.8009828009828011,0.9259146341463413,0.7749999999999999,0.9628724216959511,0.9628724216959511,0.9010989010989011,expected_error_reduction,0.9504283965728274,margin_sampling,0.8516483516483517,density_weighted_sampling,density_weighted_sampling
20,0.9010989010989011,0.9135802469135803,0.8009828009828011,0.9628724216959511,0.9628724216959511,0.7652890041177367,expected_error_reduction,0.9504283965728274,training_utility_sampling,0.8271341463414634,expected_error_reduction,expected_error_reduction
21,0.8394082659752936,0.9135802469135803,0.826499388004896,0.9628724216959511,0.9628724216959511,0.826499388004896,expected_error_reduction,0.9504283965728274,training_utility_sampling,0.8641146865944793,training_utility_sampling,training_utility_sampling
22,0.8763736263736264,0.938233948452036,0.8137931034482759,0.9628724216959511,0.9628724216959511,0.7777439024390245,margin_sampling,0.9504283965728274,training_utility_sampling,0.8271341463414634,density_weighted_sampling,training_utility_sampling
23,0.8009828009828011,0.9505494505494505,0.826499388004896,0.9628724216959511,0.9628724216959511,0.901219512195122,expected_error_reduction,0.8765243902439024,expected_error_reduction,0.8271341463414634,density_weighted_sampling,training_utility_sampling
