,estimator,query-strategy,accuracy,f1-micro,f1-macro,f1-weighted,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,best_node.mean,best_node.mean.relative,best_node.sd,best_node.sd.relative,c1,c2,can_cor.mean,can_cor.sd,cat_to_num,ch,class_conc.mean,class_conc.sd,class_ent,cls_coef,cohesiveness.mean,cohesiveness.sd,conceptvar.mean,conceptvar.sd,cor.mean,cor.sd,cov.mean,cov.sd,density,eigenvalues.mean,eigenvalues.sd,elite_nn.mean,elite_nn.mean.relative,elite_nn.sd,elite_nn.sd.relative,eq_num_attr,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,hubs.mean,hubs.sd,impconceptvar.mean,impconceptvar.sd,inst_to_attr,int,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,linear_discr.mean,linear_discr.mean.relative,linear_discr.sd,linear_discr.sd.relative,lsc,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,naive_bayes.mean,naive_bayes.mean.relative,naive_bayes.sd,naive_bayes.sd.relative,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,nre,ns_ratio,num_to_cat,one_itemset.mean,one_itemset.sd,one_nn.mean,one_nn.mean.relative,one_nn.sd,one_nn.sd.relative,p_trace,pb,random_node.mean,random_node.mean.relative,random_node.sd,random_node.sd.relative,range.mean,range.sd,roy_root,sc,sd.mean,sd.sd,sd_ratio,sil,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t1,t2,t3,t4,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,two_itemset.mean,two_itemset.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,vdb,vdu,w_lambda,wg_dist.mean,wg_dist.sd,worst_node.mean,worst_node.mean.relative,worst_node.sd,worst_node.sd.relative
0,SVCLinear,uncertainty_sampling,0.8333333333333334,0.8333333333333334,0.8285714285714285,0.8380952380952381,0.0865789829809736,0.053928361907330837,1.5740285204348243,0.015255361216141301,0.13793103448275862,0.36666666666666664,1.0,0.29186501192363773,5.0,0.9922666387194963,0.021176470588235352,0.5121089443132684,,0.0,1.092800619578241,0.0316296739953629,0.031021857609505682,0.9922666387194963,0.5789473684210527,12.586206896551724,1.271732265716737,0.5022507834760596,0.05678956145124781,0.13447059836075356,0.1081395239560018,0.6897824302134641,0.8870654626139083,0.9014778325123153,45.53693349753693,89.73968172537873,0.5666666666666667,4.0,0.3531166351571267,7.0,20.543425917934968,0.9326087485093161,0.06513014118349954,0.42663331570535623,,0.3806343205208991,,0.7931034482758621,,0.41379310344827586,,0.5,0.0731489773641256,6.424851542221553,8.192496360797904,5.259339198732336,5.12752529192749,5.7699155923003875,0.7972839154893658,0.2892819395694883,6.431034482758621,1.0086601609050714,7.25,15.620624632778565,5.675,9.554187563576507,2.517994226160802,0.04716612943050213,-0.575972017346235,0.4671734769261184,0.17110273707086665,,0.27586206896551724,,0.24137931034482762,,9,4.888888888888889,2.571208103423585,0.1111111111111111,0.06399729152678187,110.01904761904763,111.29229395550057,0.5,0.07856742013183865,0.3554829565385732,0.5833333333333333,5.5,0.2115492529406641,1.0,0.9286563614744352,4.22541,7.071551300103818,15.475,21.71134496064212,8.257758620689655,9.88967095295235,7.95,9.456743625582751,2.05,1.6462077633154328,0.0483009329935189,0.047441463932368706,0.6551724137931034,0.47766095080799914,0.1589789769056245,0.41379310344827586,0.5012300141587652,0.3448275862068966,0.48372528131497444,0.5333333333333333,3.0,0.3220305943597653,6.0,8,2.0,0.27586206896551724,1.0,0.0,2.6666666666666665,0.5773502691896258,4,0,0,2,0.0,1,29,4.0,4,2,0.6877868229921127,31.587952713998924,,0.3333333333333333,0.04244534171701128,0.6666666666666667,7.0,0.2721655269759087,3.0,0.2622555708456502,0.019371752883214167,0.45,2.0,0.27273194908074616,4.0,13.424999999999999,21.085283177293746,0.3554829565385732,1,3.923187724315305,6.3398771362772885,1.1269522393462112,-0.024346530980996085,-0.0734615890607151,0.49141834538750573,0.018989158163265303,0.015230481389902817,0.7586206896551724,0.13793103448275862,0.034482758620689655,0.25,8.085526315789473,9.504594189705733,4.235294117647059,2.537947294682897,0.0999788606861594,0.12377622129403193,0.22135416666666666,0.19374369949433196,0.4444444444444444,0.09512531876432259,45.536933497536936,89.7144599633653,0.24999999999999997,0.19822849314350566,4.131322187265698,0.00012361605007963996,0.7377444291543499,0.6229283743807053,0.13689588251664006,0.5833333333333333,5.5,0.26352313834736496,2.0
1,SVCLinear,uncertainty_sampling,0.8333333333333334,0.8333333333333334,0.8285714285714285,0.8380952380952381,0.03329906228975225,0.023895379174870005,0.9924596032557732,0.008720483992256485,0.16666666666666666,0.7166666666666666,4.0,0.20861092617242874,2.0,0.9798687566511527,0.05405405405405406,0.48588892380673854,,0.0,1.6233771988101968,0.05779645041417596,0.09021857786223896,0.9798687566511527,0.5045871559633027,10.104166666666666,1.2487312401573558,0.4987016073129003,0.07662713437981618,0.15849840563886172,0.17115334196345214,1.315712560386473,1.7249853063775273,0.8659420289855072,47.471698369565225,93.91031417331082,0.7833333333333333,7.0,0.24907235301622105,5.0,22.51531577275509,0.928613948186239,0.07213493974168012,0.4593737921942459,,0.23935915829746532,,0.625,,0.16666666666666666,,0.5,0.11785113019775793,5.933107726726297,7.1827141169873965,7.172848038233618,4.796015689090658,5.097624585793478,0.7741955803739247,0.3146468973495409,5.145833333333333,1.1178314280110733,6.0,15.695963880397866,4.831249999999999,7.94733642486588,1.9288082615640523,0.06654806091786329,-0.7515470668369761,0.5264119145721199,0.2012817568667018,,0.125,,0.16666666666666663,,6,3.0,1.0954451150103321,0.16666666666666666,0.11785113019775792,18.0,4.898979485566356,0.5,0.23570226039551584,0.309051383641535,0.5666666666666667,1.5,0.25092421756969363,6.0,0.9027777777777778,3.8176949999999996,6.353161569683238,15.35,21.79610056867971,7.682291666666666,8.903388591674062,7.3,8.240145629781065,2.2,1.8601075237738274,0.043520098342873514,0.06862212927432089,0.5833333333333334,0.44762719069018314,0.1545004857036235,0.2916666666666667,0.46430562148753646,0.3333333333333333,0.48154341234307685,0.75,5.0,0.22566773346211003,4.0,5,1.25,0.20833333333333334,1.25,0.5,1.6666666666666667,0.5773502691896257,4,0,0,2,0.0,1,24,3.0,4,1,0.6791932659915256,21.80462685163693,,0.5,0.05455447255899809,0.7666666666666666,6.0,0.35311663515712677,7.0,0.23608804627807056,0.011084549542796071,0.6166666666666666,3.0,0.22291558497487643,3.0,13.15,21.262251370288457,0.309051383641535,2,3.9532348465070433,6.515993924483321,1.175780884466261,-0.012213358985472536,0.07470902044408004,0.5960648423077729,0.016666666666666666,0.012382614123648598,0.7083333333333334,0.16666666666666666,0.041666666666666664,0.25,7.2203124999999995,7.929806598038295,2.3636363636363638,1.2862913567871994,0.2524478085859489,0.12362330601958614,0.3541666666666667,0.09409658158863513,0.5,0.09194621406122841,47.47169836956522,93.82059544119107,0.25,0.22745261897272365,2.9292731713419857,0.00018444132542636335,0.7639119537219294,0.6481731492308777,0.14781472797139295,0.5666666666666667,1.5,0.08606629658238703,1.0
2,SVCLinear,uncertainty_sampling,0.75,0.75,0.7482517482517481,0.7517482517482517,0.04524577096726923,0.03126559662631501,0.9818486424991614,0.02288623852536124,0.21052631578947367,0.4,2.5,0.21081851067789195,1.0,0.9980008838722995,0.0055248618784530246,0.4274139989803781,,0.0,0.6461133903034593,0.02271620863574096,0.03997363107531725,0.9980008838722995,0.55,8.289473684210526,0.6081801056723843,0.5329767483260287,0.041707148541390536,0.2670903857929043,0.23160607957012344,0.8482504873294344,1.3362124604316095,0.9064327485380117,16.788830409356724,33.182525175171655,0.65,6.0,0.3374742788552764,5.0,59.5309406467039,0.9688055957138509,0.03181529734264904,0.5541910949998439,,0.18315955144599638,,0.7368421052631579,,0.15789473684210525,,0.5,0.03721614637823934,5.606308486879373,4.870724424491952,3.0567635995777813,4.889599502225759,3.6074168569437353,0.7241248786031721,0.37372612345560835,4.473684210526316,0.3809230095193602,4.75,9.549131371445274,3.6624999999999996,6.225937011138698,1.9630851199463195,0.051689491085317965,-0.8413123000587847,0.41284574106244004,0.2131292979610503,,0.26315789473684215,,0.26315789473684215,,6,3.0,1.0954451150103321,0.16666666666666666,0.09065270654571096,18.0,4.898979485566356,0.5,0.23570226039551584,0.22351506869241775,0.45,4.0,0.43779751788545657,7.0,0.889196675900277,2.9651999999999994,4.94249417529247,10.475000000000001,12.410042976020133,6.276315789473684,6.077311240290178,6.175,6.030132668523968,2.55,1.3771952173409063,0.016764406425141154,0.029589020895074453,0.6842105263157895,0.4395686449173849,0.14718244279948667,0.3684210526315789,0.4955946277833521,0.21052631578947367,0.41885390829169555,0.55,5.0,0.2838231060987733,3.0,5,1.25,0.2631578947368421,1.25,0.5,1.6666666666666667,0.5773502691896257,4,0,0,2,0.16666666666666666,1,19,4.0,4,1,0.6917614988524178,57.567456407326645,,0.5,0.08439828691971296,0.7,7.0,0.34960294939005054,6.0,0.18268272652439863,0.03472586214186212,0.25,1.0,0.26352313834736496,2.0,7.925,12.053319044976782,0.22351506869241775,2,2.4200245635961655,3.8179071965232336,1.2512368988097615,-0.05167924574463082,0.2331646903168957,0.34299113620948873,0.01821581196581196,0.014141166459376698,0.6842105263157895,0.21052631578947367,0.05263157894736842,0.25,6.217307692307692,6.017582308882984,2.3636363636363638,1.2862913567871994,0.2524478085859489,0.12362330601958614,0.3541666666666667,0.09409658158863513,0.5,0.1064011710532052,16.788830409356727,33.04921051471336,0.25,0.19877803666633329,4.559364699653594,0.0005223779096125741,0.8173172734756013,0.6631750651148633,0.06076140222266436,0.4,2.5,0.31622776601683794,4.0
3,SVCLinear,uncertainty_sampling,0.75,0.75,0.7482517482517481,0.7517482517482517,0.051303816510766466,0.06838509019053342,0.9963070340085629,0.007385931982874239,0.2857142857142857,,,,,0.9852281360342515,0.039999999999999813,0.4538111604444504,,0.0,0.0760422014340816,0.10807288045138475,0.15446755934054246,0.9852281360342515,1.0,5.642857142857143,0.569364403678193,0.5272458847367648,0.13818771044010184,0.3091208520541784,0.24847511585512047,0.9127014652014654,1.639211486381699,0.9230769230769231,16.528228021978023,32.74480778413548,,,,,11.936697747694607,0.936713387911345,0.07885506496166038,0.5266243773348955,,0.2524154589371981,,0.7142857142857143,,0.0,,0.5,0.10101525445522107,5.050082456355047,3.996811450280165,1.2563864630138475,4.451744904399454,2.9853249662504435,0.7857142857142857,0.42581531362632,3.0357142857142856,0.5620801241229456,3.5,9.210104565128802,3.84375,6.4419968112897,1.8989974232673688,0.11710340736877922,-1.120770602132283,0.25218381209615237,0.2145718548130775,,0.1428571428571429,,0.0714285714285714,,6,2.8333333333333335,0.983192080250175,0.16666666666666666,0.15430334996209188,16.666666666666668,5.8878405775518985,0.5,0.0,0.2593579256473115,,,,,0.8571428571428572,2.9652,4.945828567004724,9.775,11.579399811734632,5.701785714285714,5.155445489701051,5.25,4.3869123538087695,2.55,1.3771952173409063,0.08253774677544579,0.11983545155680426,0.7142857142857143,0.4347583910558635,0.14163517042065893,0.2857142857142857,0.46880723093849547,0.2857142857142857,0.4688072309384954,,,,,5,1.25,0.35714285714285715,1.25,0.5,2.5,0.7071067811865476,4,0,0,2,0.16666666666666666,1,14,4.0,4,0,0.6829081047004717,11.07092600576001,,0.5,0.03818017741606062,,,,,0.2059445693439387,0.06807549673112955,,,,,7.225,11.19802810022074,0.2593579256473115,2,2.3750165663067477,3.8100786224165204,1.1308728621370856,-0.08481121693019876,0.03528192978283956,0.36893342678722485,0.01740780586934433,0.01905508818950635,0.7142857142857143,0.2857142857142857,0.07142857142857142,0.25,5.54,4.846696469417769,2.1818181818181817,1.2504544628399563,0.2250678929757294,0.1912918265893657,0.3958333333333333,0.12289901003127188,0.5,0.11536755044103549,16.528228021978027,32.55662185543883,0.25,0.2953362629790874,11.05375452489905,0.0012548720873684048,0.7940554306560613,0.6893563006630984,0.07542040125502639,,,,
4,SVCLinear,uncertainty_sampling,0.75,0.75,0.7482517482517481,0.7517482517482517,0.18249996624999656,0.23991476693514785,0.9910760598382222,0.0,0.4444444444444444,,,,,0.9910760598382222,0.024390243902438935,0.42705900159622245,,0.0,0.3071458472835883,0.03812496051249557,0.05625000202500028,0.9910760598382222,1.0,3.2222222222222223,0.44095855184409843,0.588180167662427,0.15935394990380114,0.24830561348107053,0.21852496326336696,0.44157407407407406,0.635119476139091,0.9166666666666666,12.130416666666664,23.957592824304886,,,,,35.164877551726,0.9539224831067643,0.04536269241603148,0.5870140169457885,,0.23116615067079463,,0.5555555555555556,,0.0,,0.5,0.07856742013183865,4.310660002143961,2.932476295668464,2.709677102534543,3.9219896864312305,2.3443565387147256,0.7777777777777778,0.3632415786283894,1.8888888888888888,0.3333333333333333,2.25,7.641986069348083,2.1,3.2670067850148916,1.9539684281967744,0.041938192489449855,-1.3747829593652674,0.10167998088042032,0.20942360638627222,,0.33333333333333337,,0.4444444444444444,,4,2.25,0.9574271077563381,0.25,0.10638078975070422,9.333333333333332,1.5396007178390017,0.5,0.0,0.2230611469452889,,,,,0.8271604938271605,1.8532499999999998,2.72438255749812,8.225,9.334657644141714,4.811111111111111,3.776056252632536,4.0249999999999995,2.4649205531483833,2.55,1.3771952173409063,0.028183691479670092,0.041938192489449855,0.8888888888888888,0.4888512548959938,0.10401849691782378,0.5555555555555556,0.5270462766947299,0.4444444444444444,0.5270462766947299,,,,,3,0.75,0.3333333333333333,1.0,0.0,3.0,,4,0,0,2,0.16666666666666666,1,9,4.0,4,1,0.6869615765973234,34.16487755172601,,0.5,0.05939138709164989,,,,,0.18237939084436233,0.08662372637149107,,,,,5.675,8.889835019091562,0.2230611469452889,2,2.035311242007869,3.263520556050485,,-0.10037617487944712,-0.020597580729534656,0.4716586804293396,0.01674107142857143,0.014637139563174114,1.0,0.4444444444444444,0.1111111111111111,0.25,4.646428571428571,3.4442572730946375,1.7142857142857142,1.1126972805283737,0.2580005327400437,0.08275120230510061,0.4375,0.07216878364870322,0.5,0.21485368075301534,12.130416666666667,23.913212124688943,0.25,0.5,4.135673461392441,0.003898271234244137,0.8176206091556377,0.7957682114154851,0.08563269331836594,,,,
